id,segment_type,length,sector,corner_number,corner_name,approx_radius,start_x,start_y,end_x,end_y
1,Straight,0.0,1,,,,-2309.334228515625,-105.71966552734375,1192.50830078125,4503.826171875
2,Corner,0.0,1,1.0,Turn 1,3683.5951711966313,1192.50830078125,4503.826171875,1192.50830078125,4503.826171875
3,Straight,1578.337785356971,1,,,,1192.50830078125,4503.826171875,2770.315185546875,4462.89208984375
4,Corner,0.0,1,2.0,Turn 2,2049.8196052722137,2770.315185546875,4462.89208984375,2770.315185546875,4462.89208984375
5,Straight,2521.3014251874565,1,,,,2770.315185546875,4462.89208984375,4845.322265625,5895.13037109375
6,Corner,0.0,1,3.0,Turn 3,2013.297439018806,4845.322265625,5895.13037109375,4845.322265625,5895.13037109375
7,Straight,1505.2934528501555,1,,,,4845.322265625,5895.13037109375,5802.7041015625,4733.5244140625
8,Corner,0.0,1,4.0,Turn 4,1641.7108612546597,5802.7041015625,4733.5244140625,5802.7041015625,4733.5244140625
9,Straight,1778.1282696591634,1,,,,5802.7041015625,4733.5244140625,6232.291015625,6458.9794921875
10,Corner,0.0,1,5.0,Turn 5,4466.206492608155,6232.291015625,6458.9794921875,6232.291015625,6458.9794921875
11,Straight,7154.284715557145,1,,,,6232.291015625,6458.9794921875,631.385986328125,10910.232421875
12,Corner,0.0,1,6.0,Turn 6,4486.925461031171,631.385986328125,10910.232421875,631.385986328125,10910.232421875
13,Straight,1819.5662065051947,1,,,,631.385986328125,10910.232421875,-566.2516479492188,9540.3837890625
14,Corner,0.0,1,7.0,Turn 7,2468.750954443545,-566.2516479492188,9540.3837890625,-566.2516479492188,9540.3837890625
15,Straight,3117.9357023818957,2,,,,-566.2516479492188,9540.3837890625,761.3385620117188,12361.55859375
16,Corner,0.0,2,8.0,Turn 8,4141.897790074776,761.3385620117188,12361.55859375,761.3385620117188,12361.55859375
17,Straight,5165.859877767656,2,,,,761.3385620117188,12361.55859375,5893.8935546875,12947.2099609375
18,Corner,0.0,2,9.0,Turn 9,5259.713037606565,5893.8935546875,12947.2099609375,5893.8935546875,12947.2099609375
19,Straight,5353.566197445474,2,,,,5893.8935546875,12947.2099609375,7295.830078125,7780.4658203125
20,Corner,0.0,2,10.0,Turn 10,3129.9908006887463,7295.830078125,7780.4658203125,7295.830078125,7780.4658203125
21,Straight,906.4154039320201,2,,,,7295.830078125,7780.4658203125,7534.9931640625,6906.171875
22,Corner,0.0,2,11.0,Turn 11,1175.7610856604376,7534.9931640625,6906.171875,7534.9931640625,6906.171875
23,Straight,1445.1067673888574,2,,,,7534.9931640625,6906.171875,7336.6962890625,5474.73486328125
24,Corner,0.0,2,12.0,Turn 12,1414.0531399021652,7336.6962890625,5474.73486328125,7336.6962890625,5474.73486328125
25,Straight,1382.9995124154702,3,,,,7336.6962890625,5474.73486328125,7776.478515625,4163.52197265625
26,Corner,0.0,3,13.0,Turn 13,1394.032012111048,7776.478515625,4163.52197265625,7776.478515625,4163.52197265625
27,Straight,1405.064511806624,3,,,,7776.478515625,4163.52197265625,6806.81005859375,3146.68896484375
28,Corner,0.0,3,14.0,Turn 14,4943.190090143899,6806.81005859375,3146.68896484375,6806.81005859375,3146.68896484375
29,Straight,8481.315668481177,3,,,,6806.81005859375,3146.68896484375,2398.9521484375,-4099.2412109375
30,Corner,0.0,3,15.0,Turn 15,6406.335325064008,2398.9521484375,-4099.2412109375,2398.9521484375,-4099.2412109375
31,Straight,4331.354981646844,3,,,,2398.9521484375,-4099.2412109375,-620.4287109375,-993.7661743164062
32,Corner,0.0,3,16.0,Turn 16,2581.5852116386004,-620.4287109375,-993.7661743164062,-620.4287109375,-993.7661743164062
33,Straight,831.8154416303587,3,,,,-620.4287109375,-993.7661743164062,-1438.0526123046875,-1146.76318359375
34,Corner,0.0,3,17.0,Turn 17,1094.675586372917,-1438.0526123046875,-1146.76318359375,-1438.0526123046875,-1146.76318359375
35,Straight,1357.535731115473,3,,,,-1438.0526123046875,-1146.76318359375,-2309.334228515625,-105.71966552734375
36,Corner,0.0,3,18.0,Turn 18,3573.194144075883,-2309.334228515625,-105.71966552734375,-2309.334228515625,-105.71966552734375
