Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Stint,TrackStatus,IsAccurate
VER,8.0,0 days 00:01:45.834000,0 days 00:00:32.223000,0 days 00:00:43.021000,0 days 00:00:30.590000,INTERMEDIATE,8.0,True,1.0,1,True
VER,9.0,0 days 00:01:46.326000,0 days 00:00:32.688000,0 days 00:00:43.578000,0 days 00:00:30.060000,INTERMEDIATE,9.0,True,1.0,1,True
VER,10.0,0 days 00:01:46.432000,0 days 00:00:32.657000,0 days 00:00:44.139000,0 days 00:00:29.636000,INTERMEDIATE,10.0,True,1.0,1,True
VER,13.0,0 days 00:01:51.224000,0 days 00:00:33.824000,0 days 00:00:47.545000,0 days 00:00:29.855000,INTERMEDIATE,2.0,True,2.0,12,True
VER,22.0,0 days 00:01:51.018000,0 days 00:00:36.073000,0 days 00:00:45.732000,0 days 00:00:29.213000,INTERMEDIATE,11.0,True,2.0,12,True
VER,23.0,0 days 00:01:45.863000,0 days 00:00:33.293000,0 days 00:00:43.941000,0 days 00:00:28.629000,INTERMEDIATE,12.0,True,2.0,1,True
VER,24.0,0 days 00:01:45.017000,0 days 00:00:32.645000,0 days 00:00:43.603000,0 days 00:00:28.769000,INTERMEDIATE,13.0,True,2.0,1,True
VER,25.0,0 days 00:01:44.139000,0 days 00:00:32.336000,0 days 00:00:43.373000,0 days 00:00:28.430000,INTERMEDIATE,14.0,True,2.0,1,True
VER,26.0,0 days 00:01:44.304000,0 days 00:00:32.365000,0 days 00:00:43.372000,0 days 00:00:28.567000,INTERMEDIATE,15.0,True,2.0,1,True
VER,27.0,0 days 00:01:43.903000,0 days 00:00:32.315000,0 days 00:00:43.187000,0 days 00:00:28.401000,INTERMEDIATE,16.0,True,2.0,1,True
VER,28.0,0 days 00:01:44.243000,0 days 00:00:32.313000,0 days 00:00:43.301000,0 days 00:00:28.629000,INTERMEDIATE,17.0,True,2.0,1,True
VER,29.0,0 days 00:01:44.716000,0 days 00:00:32.647000,0 days 00:00:43.321000,0 days 00:00:28.748000,INTERMEDIATE,18.0,True,2.0,1,True
VER,30.0,0 days 00:01:44.721000,0 days 00:00:32.507000,0 days 00:00:43.399000,0 days 00:00:28.815000,INTERMEDIATE,19.0,True,2.0,1,True
VER,31.0,0 days 00:01:44.559000,0 days 00:00:32.345000,0 days 00:00:43.564000,0 days 00:00:28.650000,INTERMEDIATE,20.0,True,2.0,1,True
VER,32.0,0 days 00:01:44.511000,0 days 00:00:32.555000,0 days 00:00:43.556000,0 days 00:00:28.400000,INTERMEDIATE,21.0,True,2.0,1,True
VER,33.0,0 days 00:01:44.306000,0 days 00:00:32.321000,0 days 00:00:43.443000,0 days 00:00:28.542000,INTERMEDIATE,22.0,True,2.0,1,True
VER,34.0,0 days 00:01:43.923000,0 days 00:00:32.325000,0 days 00:00:43.352000,0 days 00:00:28.246000,INTERMEDIATE,23.0,True,2.0,1,True
VER,35.0,0 days 00:01:42.617000,0 days 00:00:32.234000,0 days 00:00:42.506000,0 days 00:00:27.877000,INTERMEDIATE,24.0,True,2.0,1,True
VER,36.0,0 days 00:01:41.924000,0 days 00:00:32.072000,0 days 00:00:42.122000,0 days 00:00:27.730000,INTERMEDIATE,25.0,True,2.0,1,True
VER,37.0,0 days 00:01:41.583000,0 days 00:00:31.969000,0 days 00:00:41.958000,0 days 00:00:27.656000,INTERMEDIATE,26.0,True,2.0,1,True
VER,38.0,0 days 00:01:41.190000,0 days 00:00:31.967000,0 days 00:00:41.824000,0 days 00:00:27.399000,INTERMEDIATE,27.0,True,2.0,1,True
VER,39.0,0 days 00:01:40.758000,0 days 00:00:31.548000,0 days 00:00:41.793000,0 days 00:00:27.417000,INTERMEDIATE,28.0,True,2.0,12,True
VER,40.0,0 days 00:01:41.474000,0 days 00:00:31.622000,0 days 00:00:42.302000,0 days 00:00:27.550000,INTERMEDIATE,29.0,True,2.0,1,True
VER,43.0,0 days 00:01:39.479000,0 days 00:00:32.586000,0 days 00:00:40.304000,0 days 00:00:26.589000,MEDIUM,2.0,True,3.0,12,True
VER,44.0,0 days 00:01:35.165000,0 days 00:00:30.500000,0 days 00:00:39.091000,0 days 00:00:25.574000,MEDIUM,3.0,True,3.0,21,True
VER,45.0,0 days 00:01:33.844000,0 days 00:00:30.213000,0 days 00:00:38.329000,0 days 00:00:25.302000,MEDIUM,4.0,True,3.0,1,True
VER,46.0,0 days 00:01:32.960000,0 days 00:00:29.790000,0 days 00:00:38.090000,0 days 00:00:25.080000,MEDIUM,5.0,True,3.0,1,True
VER,47.0,0 days 00:01:31.712000,0 days 00:00:29.171000,0 days 00:00:37.499000,0 days 00:00:25.042000,MEDIUM,6.0,True,3.0,1,True
VER,48.0,0 days 00:01:30.776000,0 days 00:00:29.164000,0 days 00:00:36.938000,0 days 00:00:24.674000,MEDIUM,7.0,True,3.0,1,True
VER,49.0,0 days 00:01:30.179000,0 days 00:00:28.994000,0 days 00:00:36.792000,0 days 00:00:24.393000,MEDIUM,8.0,True,3.0,1,True
VER,50.0,0 days 00:01:30.290000,0 days 00:00:28.940000,0 days 00:00:36.728000,0 days 00:00:24.622000,MEDIUM,9.0,True,3.0,1,True
VER,51.0,0 days 00:01:30.973000,0 days 00:00:29.374000,0 days 00:00:36.969000,0 days 00:00:24.630000,MEDIUM,10.0,True,3.0,1,True
VER,52.0,0 days 00:01:31.389000,0 days 00:00:29.137000,0 days 00:00:37.206000,0 days 00:00:25.046000,MEDIUM,11.0,True,3.0,1,True
GAS,8.0,0 days 00:01:46.083000,0 days 00:00:32.684000,0 days 00:00:43.237000,0 days 00:00:30.162000,INTERMEDIATE,8.0,True,1.0,1,True
GAS,9.0,0 days 00:01:47.962000,0 days 00:00:33.078000,0 days 00:00:44.273000,0 days 00:00:30.611000,INTERMEDIATE,9.0,True,1.0,1,True
GAS,10.0,0 days 00:01:48.953000,0 days 00:00:33.314000,0 days 00:00:45.153000,0 days 00:00:30.486000,INTERMEDIATE,10.0,True,1.0,1,True
GAS,22.0,0 days 00:01:49.883000,0 days 00:00:35.333000,0 days 00:00:45.640000,0 days 00:00:28.910000,INTERMEDIATE,11.0,True,2.0,12,True
GAS,23.0,0 days 00:01:45.583000,0 days 00:00:33.284000,0 days 00:00:43.810000,0 days 00:00:28.489000,INTERMEDIATE,12.0,True,2.0,1,True
GAS,24.0,0 days 00:01:44.631000,0 days 00:00:32.684000,0 days 00:00:43.191000,0 days 00:00:28.756000,INTERMEDIATE,13.0,True,2.0,1,True
GAS,25.0,0 days 00:01:44.204000,0 days 00:00:32.597000,0 days 00:00:43.234000,0 days 00:00:28.373000,INTERMEDIATE,14.0,True,2.0,1,True
GAS,26.0,0 days 00:01:44.244000,0 days 00:00:32.554000,0 days 00:00:43.314000,0 days 00:00:28.376000,INTERMEDIATE,15.0,True,2.0,1,True
GAS,27.0,0 days 00:01:43.205000,0 days 00:00:32.301000,0 days 00:00:42.728000,0 days 00:00:28.176000,INTERMEDIATE,16.0,True,2.0,1,True
GAS,28.0,0 days 00:01:43.575000,0 days 00:00:32.286000,0 days 00:00:42.741000,0 days 00:00:28.548000,INTERMEDIATE,17.0,True,2.0,1,True
GAS,29.0,0 days 00:01:44.969000,0 days 00:00:32.435000,0 days 00:00:43.131000,0 days 00:00:29.403000,INTERMEDIATE,18.0,True,2.0,1,True
GAS,30.0,0 days 00:01:45.061000,0 days 00:00:33.004000,0 days 00:00:43.384000,0 days 00:00:28.673000,INTERMEDIATE,19.0,True,2.0,1,True
GAS,31.0,0 days 00:01:44.504000,0 days 00:00:32.532000,0 days 00:00:43.230000,0 days 00:00:28.742000,INTERMEDIATE,20.0,True,2.0,1,True
GAS,32.0,0 days 00:01:44.368000,0 days 00:00:32.737000,0 days 00:00:43.133000,0 days 00:00:28.498000,INTERMEDIATE,21.0,True,2.0,1,True
