algo,feature,mean_abs_shap
a2c,s_12,0.08284952938722231
a2c,s_16,0.08143432420425717
a2c,s_7,0.05699819237091936
a2c,s_0,0.03465368503069759
a2c,s_5,0.03208006564949568
a2c,s_1,0.031452435648176014
a2c,s_2,0.031152315956360064
a2c,s_11,0.026729481640099813
a2c,s_6,0.02527018868417001
a2c,s_17,0.004943278650412334
a2c,s_10,0.0
a2c,s_13,0.0
a2c,s_14,0.0
a2c,s_15,0.0
a2c,s_3,0.0
a2c,s_4,0.0
a2c,s_8,0.0
a2c,s_9,0.0
dqn,s_7,0.341373436603783
dqn,s_0,0.3305855939277934
dqn,s_6,0.31519057183838295
dqn,s_5,0.30607169098683523
dqn,s_12,0.29359416952886086
dqn,s_16,0.2795911057290961
dqn,s_1,0.2456075235743785
dqn,s_2,0.22891464297368758
dqn,s_17,0.20916959352942666
dqn,s_13,0.16976016317052442
dqn,s_11,0.09195369905723112
dqn,s_10,0.0010111329654793
dqn,s_8,0.0007017524317843
dqn,s_14,0.0
dqn,s_15,0.0
dqn,s_3,0.0
dqn,s_4,0.0
dqn,s_9,0.0
ppo,s_16,0.09737883798753753
ppo,s_5,0.07789846962414411
ppo,s_6,0.05936427048739888
ppo,s_7,0.05695149620064785
ppo,s_12,0.054387365213112576
ppo,s_0,0.04510889297998162
ppo,s_11,0.041446839519170546
ppo,s_1,0.03646105344925177
ppo,s_17,0.012188907314409256
ppo,s_2,0.008892046708403144
ppo,s_10,0.0
ppo,s_13,0.0
ppo,s_14,0.0
ppo,s_15,0.0
ppo,s_3,0.0
ppo,s_4,0.0
ppo,s_8,0.0
ppo,s_9,0.0
reinforce,s_6,0.044709526539891555
reinforce,s_5,0.0393780308984984
reinforce,s_0,0.02928719505807198
reinforce,s_1,0.028482392220519723
reinforce,s_16,0.01959883541177462
reinforce,s_7,0.0183482826680163
reinforce,s_2,0.012164458433707944
reinforce,s_17,0.008374800405370635
reinforce,s_8,0.0002014254958706111
reinforce,s_10,0.00019957773996414445
reinforce,s_11,0.0001368112783757889
reinforce,s_12,0.0
reinforce,s_13,0.0
reinforce,s_14,0.0
reinforce,s_15,0.0
reinforce,s_3,0.0
reinforce,s_4,0.0
reinforce,s_9,0.0
sarsa,s_6,0.332952928896493
sarsa,s_5,0.3266020117526852
sarsa,s_12,0.31779398687322913
sarsa,s_7,0.23235270296908325
sarsa,s_16,0.1952155288235042
sarsa,s_13,0.19166230143935978
sarsa,s_0,0.17045826922625693
sarsa,s_1,0.14769569388929343
sarsa,s_2,0.12019406909410156
sarsa,s_11,0.056824941632343924
sarsa,s_17,0.049356582396737486
sarsa,s_8,0.0007895567780954555
sarsa,s_10,0.000778651008123
sarsa,s_14,0.0
sarsa,s_15,0.0
sarsa,s_3,0.0
sarsa,s_4,0.0
sarsa,s_9,0.0
