feature,mean_abs_shap,algo,regime,seed,source_file
s_12,0.5440047097594963,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
s_16,0.1609016630434286,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
s_2,0.1382674764108695,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
s_12,0.1305009401917917,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
s_11,0.1285992857644879,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
s_16,0.1264731336401543,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
s_7,0.1004456959256365,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
s_5,0.0805109992660359,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
s_0,0.0775720264553462,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
s_11,0.0610178907209391,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
s_6,0.1175646273627664,a2c,safe,0,shap_a2c_safe_seed=0.csv
s_7,0.1087960253698839,a2c,safe,0,shap_a2c_safe_seed=0.csv
s_16,0.0834645370576068,a2c,safe,2,shap_a2c_safe_seed=2.csv
s_5,0.0516079034890943,a2c,safe,0,shap_a2c_safe_seed=0.csv
s_0,0.0503291688399512,a2c,safe,1,shap_a2c_safe_seed=1.csv
s_7,0.0437327569273113,a2c,safe,1,shap_a2c_safe_seed=1.csv
s_1,0.0428654666033397,a2c,safe,2,shap_a2c_safe_seed=2.csv
s_0,0.0426720856046959,a2c,safe,0,shap_a2c_safe_seed=0.csv
s_2,0.0422758570618432,a2c,safe,1,shap_a2c_safe_seed=1.csv
s_0,0.0400279453445935,a2c,safe,2,shap_a2c_safe_seed=2.csv
s_16,0.1264731336401543,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
s_7,0.0932836371721041,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
s_16,0.0875680707845374,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
s_5,0.0759644061215176,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
s_12,0.0711401145337128,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
