algo,regime,Straight,Corner,n_crashes,pct_corner,pct_straight,n_episodes,corner_crash_rate_per_episode,straight_crash_rate_per_episode
a2c,rulebook,91,197,288,68.40277777777777,31.59722222222222,300,0.6566666666666666,0.30333333333333334
a2c,safe,86,176,262,67.17557251908397,32.82442748091603,300,0.5866666666666667,0.2866666666666667
a2c,unconstrained,96,200,296,67.56756756756756,32.432432432432435,300,0.6666666666666666,0.32
dqn,rulebook,98,193,291,66.32302405498282,33.67697594501718,300,0.6433333333333333,0.32666666666666666
dqn,safe,71,163,234,69.65811965811966,30.34188034188034,300,0.5433333333333333,0.23666666666666666
dqn,unconstrained,79,179,258,69.37984496124031,30.62015503875969,300,0.5966666666666667,0.2633333333333333
ppo,rulebook,81,179,260,68.84615384615384,31.153846153846153,300,0.5966666666666667,0.27
ppo,safe,69,174,243,71.60493827160494,28.395061728395063,300,0.58,0.23
ppo,unconstrained,84,209,293,71.33105802047781,28.668941979522184,300,0.6966666666666667,0.28
reinforce,rulebook,80,179,259,69.11196911196912,30.888030888030887,300,0.5966666666666667,0.26666666666666666
reinforce,safe,60,162,222,72.97297297297297,27.027027027027028,300,0.54,0.2
reinforce,unconstrained,80,180,260,69.23076923076923,30.76923076923077,300,0.6,0.26666666666666666
sarsa,rulebook,66,186,252,73.80952380952381,26.19047619047619,300,0.62,0.22
sarsa,safe,83,186,269,69.14498141263941,30.855018587360593,300,0.62,0.27666666666666667
sarsa,unconstrained,75,183,258,70.93023255813954,29.069767441860463,300,0.61,0.25
