algo,regime,seed,Straight,Corner,n_episodes,corner_crash_rate_per_episode,straight_crash_rate_per_episode
a2c,rulebook,0,37,63,100,0.63,0.37
a2c,rulebook,1,27,63,100,0.63,0.27
a2c,rulebook,2,27,71,100,0.71,0.27
a2c,safe,0,28,59,100,0.59,0.28
a2c,safe,1,28,59,100,0.59,0.28
a2c,safe,2,30,58,100,0.58,0.3
a2c,unconstrained,0,42,58,100,0.58,0.42
a2c,unconstrained,1,27,71,100,0.71,0.27
a2c,unconstrained,2,27,71,100,0.71,0.27
dqn,rulebook,0,34,64,100,0.64,0.34
dqn,rulebook,1,32,66,100,0.66,0.32
dqn,rulebook,2,32,63,100,0.63,0.32
dqn,safe,0,30,54,100,0.54,0.3
dqn,safe,1,21,54,100,0.54,0.21
dqn,safe,2,20,55,100,0.55,0.2
dqn,unconstrained,0,29,65,100,0.65,0.29
dqn,unconstrained,1,26,63,100,0.63,0.26
dqn,unconstrained,2,24,51,100,0.51,0.24
ppo,rulebook,0,23,64,100,0.64,0.23
ppo,rulebook,1,38,62,100,0.62,0.38
ppo,rulebook,2,20,53,100,0.53,0.2
ppo,safe,0,21,61,100,0.61,0.21
ppo,safe,1,21,64,100,0.64,0.21
ppo,safe,2,27,49,100,0.49,0.27
ppo,unconstrained,0,30,67,100,0.67,0.3
ppo,unconstrained,1,27,71,100,0.71,0.27
ppo,unconstrained,2,27,71,100,0.71,0.27
reinforce,rulebook,0,28,60,100,0.6,0.28
reinforce,rulebook,1,28,57,100,0.57,0.28
reinforce,rulebook,2,24,62,100,0.62,0.24
reinforce,safe,0,3,48,100,0.48,0.03
reinforce,safe,1,29,57,100,0.57,0.29
reinforce,safe,2,28,57,100,0.57,0.28
reinforce,unconstrained,0,30,56,100,0.56,0.3
reinforce,unconstrained,1,30,57,100,0.57,0.3
reinforce,unconstrained,2,20,67,100,0.67,0.2
sarsa,rulebook,0,28,59,100,0.59,0.28
sarsa,rulebook,1,17,58,100,0.58,0.17
sarsa,rulebook,2,21,69,100,0.69,0.21
sarsa,safe,0,27,59,100,0.59,0.27
sarsa,safe,1,28,68,100,0.68,0.28
sarsa,safe,2,28,59,100,0.59,0.28
sarsa,unconstrained,0,27,71,100,0.71,0.27
sarsa,unconstrained,1,30,55,100,0.55,0.3
sarsa,unconstrained,2,18,57,100,0.57,0.18
