algo,seed,rulebook,safe,unconstrained,rulebook_minus_unconstrained
a2c,0,0.98,0.0,2.36,-1.38
a2c,1,2.09,0.0,0.0,2.09
a2c,2,0.0,0.0,0.0,0.0
dqn,0,2.01,0.47,0.2,1.8099999999999998
dqn,1,0.93,0.36,0.47,0.4600000000000001
dqn,2,3.88,0.57,8.47,-4.590000000000001
ppo,0,0.45,0.6,0.11,0.34
ppo,1,0.87,0.62,0.0,0.87
ppo,2,0.42,0.68,0.0,0.42
reinforce,0,0.0,35.74,0.39,-0.39
reinforce,1,0.0,0.0,0.0,0.0
reinforce,2,0.0,0.0,0.0,0.0
sarsa,0,0.0,0.78,0.0,0.0
sarsa,1,1.72,0.75,0.0,1.72
sarsa,2,0.35,0.0,1.65,-1.2999999999999998
