algo,regime,n_seeds,finish_rate_mean,finish_rate_std,finish_rate_min,finish_rate_max,crash_rate_mean,crash_rate_std,crash_rate_min,crash_rate_max,catastrophic_rate_mean,catastrophic_rate_std,catastrophic_rate_min,catastrophic_rate_max,mean_completed_laps_mean,mean_completed_laps_std,mean_completed_laps_min,mean_completed_laps_max,mean_lap_fraction_mean,mean_lap_fraction_std,mean_lap_fraction_min,mean_lap_fraction_max,mean_risk_mean,mean_risk_std,mean_risk_min,mean_risk_max,mean_pit_stops_mean,mean_pit_stops_std,mean_pit_stops_min,mean_pit_stops_max
a2c,rulebook,3,0.04,0.052915026221291815,0.0,0.1,0.96,0.05291502622129178,0.9,1.0,0.20333333333333334,0.06027713773341708,0.14,0.26,16.51,1.9186714153288467,14.4,18.15,0.3175,0.03689752721786239,0.27692307692307694,0.34903846153846146,0.9124766090261702,0.15159496001738845,0.7374298270785107,1.0,1.0233333333333332,1.0456736265839994,0.0,2.09
a2c,safe,3,0.12666666666666668,0.005773502691896267,0.12,0.13,0.8733333333333334,0.005773502691896279,0.87,0.88,0.07333333333333335,0.005773502691896256,0.07,0.08,27.813333333333333,0.11547005383792475,27.68,27.88,0.534871794871795,0.0022205779584217097,0.5323076923076924,0.5361538461538463,-0.6630464232696872,0.5836207146889599,-1.0,0.010860730190938481,0.0,0.0,0.0,0.0
a2c,unconstrained,3,0.013333333333333334,0.011547005383792516,0.0,0.02,0.9866666666666667,0.011547005383792533,0.98,1.0,0.26666666666666666,0.011547005383792521,0.26,0.28,16.423333333333336,0.9641749495466759,15.31,16.98,0.31583333333333335,0.018541825952820706,0.2944230769230769,0.3265384615384616,1.0,0.0,1.0,1.0,0.7866666666666666,1.3625466352875166,0.0,2.36
dqn,rulebook,3,0.03,0.017320508075688777,0.02,0.05,0.9700000000000001,0.017320508075688787,0.95,0.98,0.20333333333333334,0.03511884584284246,0.17,0.24,17.353333333333335,0.9789960844320756,16.71,18.48,0.33371794871794874,0.018826847777539884,0.3213461538461539,0.3553846153846154,0.8649144989927597,0.17818722601566814,0.6628507439910721,0.9995375464810017,2.2733333333333334,1.492525823338857,0.93,3.88
dqn,safe,3,0.22,0.051961524227066305,0.16,0.25,0.7799999999999999,0.05196152422706626,0.75,0.84,0.06666666666666667,0.020816659994661323,0.05,0.09,29.353333333333335,0.7345973954033156,28.56,30.01,0.5644871794871795,0.014126872988525312,0.5492307692307693,0.5771153846153847,-0.2453242376345485,0.3534563257155131,-0.45980906180536074,0.16263160836863708,0.4666666666666666,0.10503967504392486,0.36,0.57
dqn,unconstrained,3,0.13999999999999999,0.09848857801796106,0.06,0.25,0.86,0.09848857801796104,0.75,0.94,0.21,0.03605551275463989,0.18,0.25,21.133333333333336,3.591243981315296,17.92,25.01,0.40641025641025647,0.06906238425606334,0.34461538461538466,0.48096153846153844,0.8111847685615617,0.2529730864577008,0.5202991390801459,0.9797478210353835,3.046666666666667,4.6986842129827515,0.2,8.47
ppo,rulebook,3,0.13333333333333333,0.13503086067019396,0.0,0.27,0.8666666666666667,0.135030860670194,0.73,1.0,0.13,0.09,0.04,0.22,25.953333333333333,4.633026368728473,20.88,29.96,0.4991025641025642,0.089096660937086,0.4015384615384616,0.5761538461538462,0.1859341901052741,0.1911877748870777,-0.03425371370399715,0.30983866438711305,0.58,0.2515949125081825,0.42,0.87
ppo,safe,3,0.18999999999999997,0.045825756949558406,0.15,0.24,0.8099999999999999,0.045825756949558365,0.76,0.85,0.056666666666666664,0.005773502691896254,0.05,0.06,29.45,2.1163175565117816,27.67,31.79,0.5663461538461539,0.04069841454830357,0.5321153846153847,0.611346153846154,-0.28836738124399,0.12087995009416852,-0.39143548887886376,-0.1553183826238163,0.6333333333333333,0.04163331998932271,0.6,0.68
ppo,unconstrained,3,0.023333333333333334,0.005773502691896258,0.02,0.03,0.9766666666666666,0.0057735026918962545,0.97,0.98,0.25,0.01732050807568878,0.23,0.26,17.123333333333335,0.24826061575153918,16.98,17.41,0.3292948717948719,0.00477424261060653,0.3265384615384616,0.33480769230769236,0.9998552598789187,0.00018657047258388747,0.9996447005848893,1.0,0.03666666666666667,0.06350852961085883,0.0,0.11
reinforce,rulebook,3,0.1366666666666667,0.01527525231651946,0.12,0.15,0.8633333333333333,0.015275252316519477,0.85,0.88,0.07666666666666666,0.015275252316519468,0.06,0.09,27.983333333333334,0.45544849690533723,27.46,28.29,0.5381410256410257,0.008758624940487266,0.5280769230769231,0.5440384615384616,-0.018994246386543238,0.162184152357973,-0.1902278808164831,0.13229586148763978,0.0,0.0,0.0,0.0
reinforce,safe,3,0.26,0.19924858845171275,0.14,0.49,0.7399999999999999,0.1992485884517127,0.51,0.86,0.05666666666666667,0.015275252316519466,0.04,0.07,30.63,4.425731577942796,28.02,35.74,0.5890384615384616,0.085110222652746,0.538846153846154,0.6873076923076923,0.026234462067065423,0.3178360233838832,-0.1918998651996024,0.3909044410436953,11.913333333333334,20.634498620837224,0.0,35.74
reinforce,unconstrained,3,0.13333333333333333,0.005773502691896261,0.13,0.14,0.8666666666666667,0.0057735026918962545,0.86,0.87,0.06666666666666667,0.005773502691896264,0.06,0.07,28.0,1.1316801668316019,26.74,28.93,0.5384615384615385,0.021763080131376872,0.5142307692307694,0.5563461538461539,-0.07321296369318217,0.1458241321204494,-0.23406241899442265,0.05034257725434875,0.13,0.22516660498395405,0.0,0.39
sarsa,rulebook,3,0.16,0.07937253933193772,0.1,0.25,0.84,0.07937253933193772,0.75,0.9,0.08333333333333333,0.07094598884597587,0.02,0.16,27.570000000000004,2.1716583525039104,25.26,29.57,0.5301923076923077,0.041762660625075186,0.4857692307692309,0.5686538461538462,-0.17001509829403516,0.7624892816603004,-1.0,0.49940553859961745,0.69,0.9090104509850258,0.0,1.72
