algo,regime_a,regime_b,comparison,metric,delta_seed0,delta_seed1,delta_seed2,mean_delta,sign_consistent_across_seeds,outlier_seed_dominated
ppo,unconstrained,safe,safe_minus_unconstrained,crash_rate,-0.15000000000000002,-0.13,-0.21999999999999997,-0.16666666666666666,True,False
ppo,unconstrained,safe,safe_minus_unconstrained,finish_rate,0.15,0.13,0.22,0.16666666666666666,True,False
ppo,unconstrained,safe,safe_minus_unconstrained,mean_risk,-1.3182693512811565,-1.1549630832087057,-1.3914354888788638,-1.2882226411229087,True,False
ppo,unconstrained,rulebook,rulebook_minus_unconstrained,crash_rate,-0.09999999999999998,0.020000000000000018,-0.25,-0.10999999999999999,False,False
ppo,unconstrained,rulebook,rulebook_minus_unconstrained,finish_rate,0.1,-0.02,0.25,0.11,False,False
ppo,unconstrained,rulebook,rulebook_minus_unconstrained,mean_risk,-0.6900824146647536,-0.717427080952183,-1.034253713703997,-0.8139210697736446,True,False
ppo,rulebook,safe,safe_minus_rulebook,crash_rate,-0.050000000000000044,-0.15000000000000002,0.030000000000000027,-0.05666666666666668,False,True
ppo,rulebook,safe,safe_minus_rulebook,finish_rate,0.04999999999999999,0.15,-0.030000000000000027,0.05666666666666665,False,True
ppo,rulebook,safe,safe_minus_rulebook,mean_risk,-0.628186936616403,-0.43753600225652267,-0.3571817751748666,-0.47430157134926415,True,False
a2c,unconstrained,safe,safe_minus_unconstrained,crash_rate,-0.13,-0.10999999999999999,-0.09999999999999998,-0.11333333333333333,True,False
a2c,unconstrained,safe,safe_minus_unconstrained,finish_rate,0.13,0.11,0.09999999999999999,0.11333333333333333,True,False
a2c,unconstrained,safe,safe_minus_unconstrained,mean_risk,-2.0,-2.0,-0.9891392698090615,-1.6630464232696873,True,False
a2c,unconstrained,rulebook,rulebook_minus_unconstrained,crash_rate,0.0,-0.07999999999999996,0.0,-0.026666666666666655,True,True
a2c,unconstrained,rulebook,rulebook_minus_unconstrained,finish_rate,0.0,0.08,0.0,0.02666666666666667,True,True
a2c,unconstrained,rulebook,rulebook_minus_unconstrained,mean_risk,-0.2625701729214893,0.0,0.0,-0.08752339097382977,True,True
a2c,rulebook,safe,safe_minus_rulebook,crash_rate,-0.13,-0.030000000000000027,-0.09999999999999998,-0.08666666666666667,True,False
a2c,rulebook,safe,safe_minus_rulebook,finish_rate,0.13,0.03,0.09999999999999999,0.08666666666666667,True,False
a2c,rulebook,safe,safe_minus_rulebook,mean_risk,-1.7374298270785107,-2.0,-0.9891392698090615,-1.5755230322958573,True,False
dqn,unconstrained,safe,safe_minus_unconstrained,crash_rate,-0.09999999999999998,-0.14,0.0,-0.08,True,False
dqn,unconstrained,safe,safe_minus_unconstrained,finish_rate,0.1,0.14,0.0,0.08,True,False
dqn,unconstrained,safe,safe_minus_unconstrained,mean_risk,-1.4395568828407441,-1.3723026050360776,-0.3576675307115088,-1.0565090061961102,True,False
dqn,unconstrained,rulebook,rulebook_minus_unconstrained,crash_rate,0.040000000000000036,0.08999999999999997,0.19999999999999996,0.10999999999999999,True,False
dqn,unconstrained,rulebook,rulebook_minus_unconstrained,finish_rate,-0.039999999999999994,-0.09,-0.2,-0.11,True,False
dqn,unconstrained,rulebook,rulebook_minus_unconstrained,mean_risk,0.01978972544561819,-0.001152139062950197,0.14255160491092622,0.053729730431198074,False,True
dqn,rulebook,safe,safe_minus_rulebook,crash_rate,-0.14,-0.22999999999999998,-0.19999999999999996,-0.18999999999999997,True,False
dqn,rulebook,safe,safe_minus_rulebook,finish_rate,0.14,0.23,0.2,0.19000000000000003,True,False
dqn,rulebook,safe,safe_minus_rulebook,mean_risk,-1.4593466082863624,-1.3711504659731275,-0.500219135622435,-1.1102387366273083,True,False
sarsa,unconstrained,safe,safe_minus_unconstrained,crash_rate,-0.12,0.10999999999999999,0.12,0.03666666666666666,False,False
sarsa,unconstrained,safe,safe_minus_unconstrained,finish_rate,0.12000000000000001,-0.10999999999999999,-0.12,-0.03666666666666666,False,False
sarsa,unconstrained,safe,safe_minus_unconstrained,mean_risk,-1.261122638431087,1.3495517149727378,-0.7735782801542335,-0.22838306787086085,False,False
sarsa,unconstrained,rulebook,rulebook_minus_unconstrained,crash_rate,-0.10999999999999999,-0.09999999999999998,0.15000000000000002,-0.01999999999999998,False,False
sarsa,unconstrained,rulebook,rulebook_minus_unconstrained,finish_rate,0.11,0.1,-0.15,0.020000000000000007,False,False
sarsa,unconstrained,rulebook,rulebook_minus_unconstrained,mean_risk,-2.0,0.4897811112026446,0.725827258445384,-0.26146387678399047,False,False
sarsa,rulebook,safe,safe_minus_rulebook,crash_rate,-0.010000000000000009,0.20999999999999996,-0.030000000000000027,0.05666666666666664,False,True
sarsa,rulebook,safe,safe_minus_rulebook,finish_rate,0.010000000000000009,-0.21,0.03,-0.056666666666666664,False,True
sarsa,rulebook,safe,safe_minus_rulebook,mean_risk,0.738877361568913,0.8597706037700933,-1.4994055385996174,0.03308080891312959,False,False
reinforce,unconstrained,safe,safe_minus_unconstrained,crash_rate,-0.35,-0.010000000000000009,-0.020000000000000018,-0.12666666666666668,True,True
reinforce,unconstrained,safe,safe_minus_unconstrained,finish_rate,0.35,0.010000000000000009,0.01999999999999999,0.12666666666666668,True,True
reinforce,unconstrained,safe,safe_minus_unconstrained,mean_risk,0.34056186378934655,0.04216255379482026,-0.08438214030342403,0.09944742576024761,False,False
reinforce,unconstrained,rulebook,rulebook_minus_unconstrained,crash_rate,0.020000000000000018,-0.020000000000000018,-0.010000000000000009,-0.003333333333333336,False,False
reinforce,unconstrained,rulebook,rulebook_minus_unconstrained,finish_rate,-0.020000000000000018,0.01999999999999999,0.010000000000000009,0.003333333333333327,False,False
reinforce,unconstrained,rulebook,rulebook_minus_unconstrained,mean_risk,0.08195328423329103,0.04383453817793956,0.03686832950868624,0.05421871730663894,True,False
reinforce,rulebook,safe,safe_minus_rulebook,crash_rate,-0.37,0.010000000000000009,-0.010000000000000009,-0.12333333333333334,False,True
reinforce,rulebook,safe,safe_minus_rulebook,finish_rate,0.37,-0.009999999999999981,0.009999999999999981,0.12333333333333334,False,True
reinforce,rulebook,safe,safe_minus_rulebook,mean_risk,0.25860857955605554,-0.0016719843831193015,-0.12125046981211027,0.04522870845360865,False,False
