algo,regime,seed,n_episodes,finish_rate,crash_rate,catastrophic_rate,mean_completed_laps,mean_lap_fraction,mean_risk,mean_pit_stops
a2c,rulebook,0,100.0,0.0,1.0,0.21,14.4,0.27692307692307694,0.7374298270785107,0.98
a2c,rulebook,1,100.0,0.1,0.9,0.14,18.15,0.34903846153846146,1.0,2.09
a2c,rulebook,2,100.0,0.02,0.98,0.26,16.98,0.3265384615384616,1.0,0.0
a2c,safe,0,100.0,0.13,0.87,0.07,27.88,0.5361538461538463,-1.0,0.0
a2c,safe,1,100.0,0.13,0.87,0.07,27.88,0.5361538461538463,-1.0,0.0
a2c,safe,2,100.0,0.12,0.88,0.08,27.68,0.5323076923076924,0.010860730190938481,0.0
a2c,unconstrained,0,100.0,0.0,1.0,0.28,15.31,0.2944230769230769,1.0,2.36
a2c,unconstrained,1,100.0,0.02,0.98,0.26,16.98,0.3265384615384616,1.0,0.0
a2c,unconstrained,2,100.0,0.02,0.98,0.26,16.98,0.3265384615384616,1.0,0.0
dqn,rulebook,0,100.0,0.02,0.98,0.17,16.87,0.3244230769230769,0.9995375464810017,2.01
dqn,rulebook,1,100.0,0.02,0.98,0.2,16.71,0.3213461538461539,0.9323552065062056,0.93
dqn,rulebook,2,100.0,0.05,0.95,0.24,18.48,0.3553846153846154,0.6628507439910721,3.88
dqn,safe,0,100.0,0.16,0.84,0.06,28.56,0.5492307692307693,-0.45980906180536074,0.47
dqn,safe,1,100.0,0.25,0.75,0.05,30.01,0.5771153846153847,-0.4387952594669219,0.36
dqn,safe,2,100.0,0.25,0.75,0.09,29.49,0.5671153846153847,0.16263160836863708,0.57
dqn,unconstrained,0,100.0,0.06,0.94,0.25,17.92,0.34461538461538466,0.9797478210353835,0.2
dqn,unconstrained,1,100.0,0.11,0.89,0.2,20.47,0.39365384615384613,0.9335073455691558,0.47
dqn,unconstrained,2,100.0,0.25,0.75,0.18,25.01,0.48096153846153844,0.5202991390801459,8.47
ppo,rulebook,0,100.0,0.13,0.87,0.13,27.02,0.5196153846153847,0.30983866438711305,0.45
ppo,rulebook,1,100.0,0.0,1.0,0.22,20.88,0.4015384615384616,0.28221761963270636,0.87
ppo,rulebook,2,100.0,0.27,0.73,0.04,29.96,0.5761538461538462,-0.03425371370399715,0.42
ppo,safe,0,100.0,0.18,0.82,0.06,27.67,0.5321153846153847,-0.3183482722292899,0.6
ppo,safe,1,100.0,0.15,0.85,0.06,28.89,0.5555769230769232,-0.1553183826238163,0.62
ppo,safe,2,100.0,0.24,0.76,0.05,31.79,0.611346153846154,-0.39143548887886376,0.68
ppo,unconstrained,0,100.0,0.03,0.97,0.23,17.41,0.33480769230769236,0.9999210790518667,0.11
ppo,unconstrained,1,100.0,0.02,0.98,0.26,16.98,0.3265384615384616,0.9996447005848893,0.0
ppo,unconstrained,2,100.0,0.02,0.98,0.26,16.98,0.3265384615384616,1.0,0.0
reinforce,rulebook,0,100.0,0.12,0.88,0.09,28.29,0.5440384615384616,0.13229586148763978,0.0
reinforce,rulebook,1,100.0,0.15,0.85,0.06,28.2,0.5423076923076924,-0.1902278808164831,0.0
reinforce,rulebook,2,100.0,0.14,0.86,0.08,27.46,0.5280769230769231,0.0009492801692136083,0.0
reinforce,safe,0,100.0,0.49,0.51,0.04,35.74,0.6873076923076923,0.3909044410436953,35.74
reinforce,safe,1,100.0,0.14,0.86,0.06,28.13,0.5409615384615385,-0.1918998651996024,0.0
reinforce,safe,2,100.0,0.15,0.85,0.07,28.02,0.538846153846154,-0.12030118964289666,0.0
reinforce,unconstrained,0,100.0,0.14,0.86,0.07,28.93,0.5563461538461539,0.05034257725434875,0.39
reinforce,unconstrained,1,100.0,0.13,0.87,0.06,28.33,0.5448076923076923,-0.23406241899442265,0.0
reinforce,unconstrained,2,100.0,0.13,0.87,0.07,26.74,0.5142307692307694,-0.03591904933947263,0.0
sarsa,rulebook,0,100.0,0.13,0.87,0.07,27.88,0.5361538461538463,-1.0,0.0
sarsa,rulebook,1,100.0,0.25,0.75,0.02,29.57,0.5686538461538462,-0.009450833481722973,1.72
sarsa,rulebook,2,100.0,0.1,0.9,0.16,25.26,0.4857692307692309,0.49940553859961745,0.35
sarsa,safe,0,100.0,0.14,0.86,0.06,30.33,0.5832692307692309,-0.261122638431087,0.78
sarsa,safe,1,100.0,0.04,0.96,0.17,18.66,0.3588461538461538,0.8503197702883704,0.75
sarsa,safe,2,100.0,0.13,0.87,0.07,27.88,0.5361538461538463,-1.0,0.0
sarsa,unconstrained,0,100.0,0.02,0.98,0.26,16.98,0.3265384615384616,1.0,0.0
sarsa,unconstrained,1,100.0,0.15,0.85,0.08,28.54,0.5488461538461539,-0.4992319446843676,0.0
sarsa,unconstrained,2,100.0,0.25,0.75,0.03,28.93,0.5563461538461538,-0.22642171984576656,1.65
