feature,mean_abs_shap,algo,regime,seed,source_file
lap_fraction,0.0775720264553462,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
race_time_norm,0.031445471601017,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
pos_norm,0.1382674764108695,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
gap_ahead,0.0,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
gap_behind,0.0,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
tyre_age_norm,0.0805109992660359,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
tyre_wear,0.0133950211617253,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
fuel_norm,0.0421757272944734,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
track_status_0,0.0,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
track_status_1,0.0,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
track_status_2,0.0,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
tyre_compound_0,0.0610178907209391,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
tyre_compound_1,0.5440047097594963,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
tyre_compound_2,0.0,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
tyre_compound_3,0.0,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
tyre_compound_4,0.0,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
risk_indicator,0.1609016630434286,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
pit_count_norm,0.017965271923224,a2c,rulebook,0,shap_a2c_rulebook_seed=0.csv
lap_fraction,0.0124484738126129,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
race_time_norm,0.0560244268015262,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
pos_norm,0.050343836831307,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
gap_ahead,0.0,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
gap_behind,0.0,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
tyre_age_norm,0.0012573388442668,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
tyre_wear,0.0206211833231048,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
fuel_norm,0.1004456959256365,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
track_status_0,0.0,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
track_status_1,0.0,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
track_status_2,0.0,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
tyre_compound_0,0.1285992857644879,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
tyre_compound_1,0.1305009401917917,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
tyre_compound_2,0.0,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
tyre_compound_3,0.0,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
tyre_compound_4,0.0,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
risk_indicator,0.0494480014206438,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
pit_count_norm,0.0137905959694668,a2c,rulebook,1,shap_a2c_rulebook_seed=1.csv
lap_fraction,0.0287271420162276,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
race_time_norm,0.0307893656048036,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
pos_norm,0.0024968263735657,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
gap_ahead,0.0,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
gap_behind,0.0,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
tyre_age_norm,0.0046542163976175,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
tyre_wear,0.0011818494476236,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
fuel_norm,0.0469463061614192,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
track_status_0,0.0,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
track_status_1,0.0,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
track_status_2,0.0,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
tyre_compound_0,0.0,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
tyre_compound_1,0.0,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
tyre_compound_2,0.0,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
tyre_compound_3,0.0,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
tyre_compound_4,0.0,a2c,rulebook,2,shap_a2c_rulebook_seed=2.csv
