session_code,data_group,column,dtype,n_rows,n_null
FP1,laps,LapTime,timedelta64[ns],459,103
FP1,laps,Compound,object,459,0
FP1,laps,TyreLife,float64,459,0
FP1,laps,Stint,float64,459,0
FP1,laps,IsAccurate,bool,459,0
FP1,laps,PitInTime,timedelta64[ns],459,372
FP1,laps,PitOutTime,timedelta64[ns],459,372
FP1,laps,TrackStatus,object,459,0
FP1,weather_data,Time,timedelta64[ns],81,0
FP1,weather_data,AirTemp,float64,81,0
FP1,weather_data,Humidity,float64,81,0
FP1,weather_data,Pressure,float64,81,0
FP1,weather_data,Rainfall,bool,81,0
FP1,weather_data,TrackTemp,float64,81,0
FP1,weather_data,WindDirection,int64,81,0
FP1,weather_data,WindSpeed,float64,81,0
FP1,track_status,Time,timedelta64[ns],8,0
FP1,track_status,Status,object,8,0
FP1,track_status,Message,object,8,0
FP1,circuit_info.corners,X,float64,18,0
FP1,circuit_info.corners,Y,float64,18,0
FP1,circuit_info.corners,Number,int64,18,0
FP1,circuit_info.corners,Letter,object,18,0
FP1,circuit_info.corners,Angle,float64,18,0
FP1,circuit_info.corners,Distance,float64,18,0
FP1,telemetry(fastest_lap),Date,datetime64[ns],647,0
FP1,telemetry(fastest_lap),SessionTime,timedelta64[ns],647,0
FP1,telemetry(fastest_lap),DriverAhead,object,647,0
FP1,telemetry(fastest_lap),DistanceToDriverAhead,float64,647,0
FP1,telemetry(fastest_lap),Time,timedelta64[ns],647,0
FP1,telemetry(fastest_lap),RPM,float64,647,0
FP1,telemetry(fastest_lap),Speed,float64,647,0
FP1,telemetry(fastest_lap),nGear,int64,647,0
FP1,telemetry(fastest_lap),Throttle,float64,647,0
FP1,telemetry(fastest_lap),Brake,bool,647,0
FP1,telemetry(fastest_lap),DRS,int64,647,0
FP1,telemetry(fastest_lap),Source,object,647,0
FP1,telemetry(fastest_lap),Distance,float64,647,0
FP1,telemetry(fastest_lap),RelativeDistance,float64,647,0
FP1,telemetry(fastest_lap),Status,object,647,0
FP1,telemetry(fastest_lap),X,float64,647,0
FP1,telemetry(fastest_lap),Y,float64,647,0
FP1,telemetry(fastest_lap),Z,float64,647,0
FP1,pos_data(driver=1),Date,datetime64[ns],18522,0
FP1,pos_data(driver=1),Status,object,18522,0
FP1,pos_data(driver=1),X,float64,18522,0
FP1,pos_data(driver=1),Y,float64,18522,0
FP1,pos_data(driver=1),Z,float64,18522,0
FP1,pos_data(driver=1),Source,object,18522,0
FP1,pos_data(driver=1),Time,timedelta64[ns],18522,0
FP1,pos_data(driver=1),SessionTime,timedelta64[ns],18522,0
FP2,laps,LapTime,timedelta64[ns],477,92
FP2,laps,Compound,object,477,0
FP2,laps,TyreLife,float64,477,0
FP2,laps,Stint,float64,477,0
FP2,laps,IsAccurate,bool,477,0
FP2,laps,PitInTime,timedelta64[ns],477,395
FP2,laps,PitOutTime,timedelta64[ns],477,395
FP2,laps,TrackStatus,object,477,0
FP2,weather_data,Time,timedelta64[ns],81,0
FP2,weather_data,AirTemp,float64,81,0
FP2,weather_data,Humidity,float64,81,0
FP2,weather_data,Pressure,float64,81,0
FP2,weather_data,Rainfall,bool,81,0
FP2,weather_data,TrackTemp,float64,81,0
FP2,weather_data,WindDirection,int64,81,0
FP2,weather_data,WindSpeed,float64,81,0
FP2,track_status,Time,timedelta64[ns],1,0
FP2,track_status,Status,object,1,0
FP2,track_status,Message,object,1,0
FP2,circuit_info.corners,X,float64,18,0
FP2,circuit_info.corners,Y,float64,18,0
FP2,circuit_info.corners,Number,int64,18,0
FP2,circuit_info.corners,Letter,object,18,0
FP2,circuit_info.corners,Angle,float64,18,0
FP2,circuit_info.corners,Distance,float64,18,0
FP2,telemetry(fastest_lap),Date,datetime64[ns],648,0
FP2,telemetry(fastest_lap),SessionTime,timedelta64[ns],648,0
FP2,telemetry(fastest_lap),DriverAhead,object,648,0
FP2,telemetry(fastest_lap),DistanceToDriverAhead,float64,648,0
FP2,telemetry(fastest_lap),Time,timedelta64[ns],648,0
