check,description,compound,n_laps,n_clusters,pooled_slope,within_slope,cond_slope,within_ci_lo,within_ci_hi,median_lap_time_s,sign_agreement
R0_primary,primary specification (all P3 rules applied),INTERMEDIATE,158,22,-0.22786117712110396,-0.11626968074558802,0.5418558905125542,-0.2068614013814839,0.0018583719894379074,103.286,True
R1_relaxed_exclusions,P3 rules 4-6 removed (live-path filtering only),INTERMEDIATE,188,22,-0.07188102149858483,0.020685534591194894,0.6851114038056796,-0.07152506581381002,0.14118512383839285,103.14699999999999,False
R3_fresh_only,exclude used sets (FreshTyre == False),INTERMEDIATE,158,22,-0.22786117712110396,-0.11626968074558802,0.5418558905125542,-0.2112542273879936,0.0003879202198043508,103.286,True
R4_leave_one_driver_out,"19 refits, one driver removed each; range across refits",INTERMEDIATE,158,22,"[-0.247923, -0.194618]","[-0.138653, -0.092019]",,,,,True
R4_leave_one_stint_out,"22 refits, one (Driver, Stint) removed each; range across refits",INTERMEDIATE,158,22,"[-0.247923, -0.178574]","[-0.138896, -0.092019]",,,,,True
R5_wet_only,laps classified wet only (mixed/transition excluded),INTERMEDIATE,144,22,-0.03627704453925151,0.09747746288798925,0.5762042764124943,0.0056342245142435195,0.20568977799784677,103.36,False
R6_fuel_adjusted,primary specification on fuel-adjusted lap time,INTERMEDIATE,158,22,-0.17478518828336229,-0.06819275766866491,0.5418558905125543,-0.1616920423180771,0.055038697550145434,102.22846153846154,True
R7_soft,falsification: same three fits on SOFT,SOFT,145,12,0.084442007783913,0.12513087879602258,0.19915168030125943,0.046951328981156004,0.1930668458887806,91.143,True
R7_medium,falsification: same three fits on MEDIUM,MEDIUM,447,23,0.20518490772749748,0.17823123830411627,0.22609612550628602,0.15757606129865478,0.19927027155784377,92.673,True
R7_hard,falsification: same three fits on HARD,HARD,37,3,0.17418445807771066,0.07076475548060703,0.15407183284028986,-0.06994047619047669,0.11545098039215683,89.872,True
R2_offset_median,offset vs B_current using median (location estimator sensitivity),INTERMEDIATE,158,22,,,,,,10.858000000000004,
R2_offset_trimmed,offset vs B_current using trimmed mean 10% (location estimator sensitivity),INTERMEDIATE,158,22,,,,,,11.086107054455468,
R2_offset_mean,offset vs B_current using mean (location estimator sensitivity),INTERMEDIATE,158,22,,,,,,10.74485195508241,
