compound,driver,stint,n_laps,tyrelife_min,tyrelife_max,lapnum_min,lapnum_max,median_lap_time_s,median_lap_time_fuel_adj_s,within_stint_slope,wet_frac,mixed_frac,dry_frac
INTERMEDIATE,ALB,2.0,5,3.0,7.0,30.0,34.0,104.304,103.29438461538462,0.5481000000000037,1.0,0.0,0.0
INTERMEDIATE,ALO,2.0,8,3.0,10.0,30.0,37.0,103.243,102.20934615384616,-0.14796428571428497,0.875,0.125,0.0
INTERMEDIATE,BOT,2.0,8,3.0,10.0,29.0,36.0,104.8545,103.82084615384616,0.12026190476190304,1.0,0.0,0.0
INTERMEDIATE,HAM,2.0,8,3.0,10.0,30.0,37.0,102.0975,101.25615384615385,-0.04347619047619297,1.0,0.0,0.0
INTERMEDIATE,HUL,2.0,10,3.0,12.0,29.0,38.0,103.15899999999999,102.22149999999999,-0.3030848484848501,0.8,0.2,0.0
INTERMEDIATE,LEC,2.0,3,3.0,7.0,22.0,26.0,105.655,104.35692307692308,0.1784230769230799,1.0,0.0,0.0
INTERMEDIATE,LEC,3.0,7,3.0,9.0,30.0,36.0,103.217,102.25546153846153,-0.35303571428571195,0.8571428571428571,0.14285714285714285,0.0
INTERMEDIATE,MAG,2.0,7,3.0,9.0,30.0,36.0,105.084,104.07438461538462,0.30282142857143995,1.0,0.0,0.0
INTERMEDIATE,NOR,2.0,9,3.0,11.0,30.0,38.0,102.216,101.20638461538461,-0.2479499999999992,0.8888888888888888,0.1111111111111111,0.0
INTERMEDIATE,OCO,4.0,9,3.0,11.0,29.0,37.0,103.336,102.23023076923077,-0.1346833333333312,0.7777777777777778,0.2222222222222222,0.0
INTERMEDIATE,PER,2.0,6,3.0,8.0,22.0,27.0,106.7705,105.37626923076922,0.947828571428567,1.0,0.0,0.0
INTERMEDIATE,PER,3.0,6,3.0,8.0,31.0,36.0,103.78450000000001,102.84700000000001,-0.15011428571428145,0.8333333333333334,0.16666666666666666,0.0
INTERMEDIATE,PIA,2.0,7,3.0,9.0,31.0,37.0,103.137,102.12738461538461,-0.31528571428570745,1.0,0.0,0.0
INTERMEDIATE,RIC,2.0,6,3.0,10.0,29.0,36.0,104.116,103.14457692307693,0.197008583690986,1.0,0.0,0.0
INTERMEDIATE,RUS,2.0,3,3.0,5.0,30.0,32.0,101.902,100.8443076923077,0.9240000000000139,1.0,0.0,0.0
INTERMEDIATE,SAI,2.0,9,4.0,12.0,30.0,38.0,102.794,101.93069230769231,-0.43173333333333164,0.8888888888888888,0.1111111111111111,0.0
INTERMEDIATE,SAR,2.0,8,3.0,10.0,30.0,37.0,104.622,103.58834615384615,-0.04154761904762117,0.875,0.125,0.0
INTERMEDIATE,STR,2.0,10,3.0,12.0,29.0,38.0,103.39,102.4195,-0.3166000000000006,0.8,0.2,0.0
INTERMEDIATE,TSU,2.0,8,3.0,10.0,30.0,37.0,103.9055,102.87184615384615,-0.1822142857142877,0.875,0.125,0.0
INTERMEDIATE,VER,2.0,9,3.0,11.0,29.0,37.0,102.098,101.1406923076923,-0.15264999999999845,1.0,0.0,0.0
INTERMEDIATE,ZHO,3.0,4,3.0,6.0,22.0,25.0,109.474,108.05573076923076,-0.7222999999999985,1.0,0.0,0.0
INTERMEDIATE,ZHO,4.0,8,3.0,10.0,29.0,36.0,103.7365,102.65476923076923,0.17065476190476175,0.875,0.125,0.0
