driver,lap_number,compound,lap_time_s,selection_reason,telemetry_rows,lap_length_m,xy_polyline_raw_units,raw_units_per_metre,metres_per_raw_unit,median_sample_spacing_m,sector1_end_m,sector1_end_frac,sector2_end_m,sector2_end_frac,sector3_end_m,sector3_end_frac
VER,48,HARD,88.952,fastest dry lap on HARD; fastest dry lap for driver VER,682,5800.305477659471,58270.79750766476,10.04616010865312,0.0995405198787011,7.599707661514458,1804.9944914758278,0.3111895568997128,4218.496944444459,0.7272887541341528,5800.358156915871,1.00000908215207
PIA,51,MEDIUM,88.748,fastest dry lap on MEDIUM; fastest dry lap for driver PIA,689,5812.121566268179,58219.433947993384,10.016898869748635,0.09983129639254251,7.19699850061636,1812.5554214778383,0.31185779595481444,4236.860833333376,0.7289697548521444,5812.165862245503,1.0000076213095028
SAI,52,SOFT,88.293,fastest dry lap on SOFT; fastest dry lap for driver SAI,675,5837.694766804536,58358.5603849836,9.996850249319934,0.10003150743085584,7.486510953513971,1818.0212533397143,0.31142793961714293,4247.768971881368,0.7276449251913408,5837.717570876975,1.0000039063488841
ALB,52,MEDIUM,89.718,fastest dry lap for driver ALB,678,5817.245451559423,58291.1660975229,10.020406837379856,0.09979634721712366,7.3969311582632145,1805.063965260902,0.31029530733949356,4233.74410245468,0.7277918969913405,5817.614495596837,1.0000634396537824
ALO,47,MEDIUM,89.71,fastest dry lap for driver ALO,693,5814.440898891547,58283.468403058694,10.023916214226158,0.09976140847833288,7.4141210916964475,1810.288476833891,0.3113435166533382,4236.064144345467,0.7285419557971639,5814.635170778811,1.0000334119635306
BOT,44,SOFT,91.277,fastest dry lap for driver BOT,694,5817.269051842625,58276.505976166605,10.01784608152299,0.09982185710004164,7.265242173254592,1811.9400465174092,0.31147606039357517,4231.032568149581,0.72732282630273,5817.306799649539,1.0000064889223066
HAM,45,SOFT,89.438,fastest dry lap for driver HAM,685,5818.506267033839,58198.19888074754,10.002257660266446,0.09997742849321495,7.3150938191871795,1805.5830254645737,0.31031727776844426,4235.679711963341,0.7279668556793715,5818.8762913279825,1.0000635943792378
HUL,43,SOFT,89.836,fastest dry lap for driver HUL,696,5836.33371782298,58348.728971986406,9.997497023482603,0.10002503603163389,7.4252802657329084,1815.306834570921,0.31103547575207047,4251.92752211888,0.7285271418141076,5836.338786725887,1.0000008685080655
LEC,43,SOFT,89.748,fastest dry lap for driver LEC,704,5815.680014821801,58320.59475169883,10.02816430805398,0.09971914791991031,7.2815839763352415,1807.7924085291747,0.3108479840572122,4234.081064177819,0.7280457407193776,5815.683943275,1.0000006754933541
MAG,42,SOFT,90.093,fastest dry lap for driver MAG,697,5825.592333382724,58314.741974952834,10.010096594090276,0.09989913589748736,7.4733167004899315,1814.2213373594527,0.31142263885567767,4240.756467488817,0.7279528372055436,5826.136634422424,1.0000934327375743
NOR,43,SOFT,89.262,fastest dry lap for driver NOR,688,5811.075855554295,58412.19502760767,10.051872747759194,0.09948394941857219,7.671996379916891,1806.9564940260998,0.3109504227687872,4232.368822778953,0.7283279254965506,5811.118424364405,1.0000073254610966
OCO,46,MEDIUM,90.875,fastest dry lap for driver OCO,699,5824.039346170739,58243.62368342197,10.000554635970428,0.09999445394789971,7.420747478289513,1815.7204919621374,0.3117630881316006,4243.077098710392,0.7285454040588141,5824.235140323611,1.0000336182744027
PER,50,SOFT,89.707,fastest dry lap for driver PER,683,5826.464253462833,58230.48008752356,9.994136676100867,0.10005866763772757,7.816411096923048,1822.2609760841763,0.3127558836392337,4245.791375107847,0.7287080449492936,5826.696127101042,1.0000397966293317
RIC,47,SOFT,90.735,fastest dry lap for driver RIC,698,5809.84685580715,58283.09141802031,10.031777577710896,0.09968323083855547,7.505860791835403,1811.273346538164,0.3117592238645209,4237.402905307448,0.7293484682943083,5810.208334170343,1.0000622182257406
RUS,3,MEDIUM,91.298,fastest dry lap for driver RUS,701,5819.48600886834,58240.49153540596,10.007841147251325,0.09992164996290455,7.370663669658597,1812.8616666666571,0.31151577027662397,4238.828611111107,0.7283853942859452,5819.5811907487105,1.000016355719427
SAR,42,SOFT,89.972,fastest dry lap for driver SAR,696,5799.054073375557,58302.082610990175,10.053722878471671,0.09946564194059188,7.279826171395468,1811.3441222259544,0.31235165240864765,4227.160125593416,0.7289395946488973,5799.119061751041,1.0000112067200377
STR,46,MEDIUM,89.897,fastest dry lap for driver STR,679,5822.509452398439,58249.31875073035,10.00416044438296,0.09995841285826942,7.226523130012765,1812.6172128674375,0.3113120258002801,4240.099001373309,0.7282253530093806,5822.626767383112,1.0000201485262723
TSU,43,SOFT,90.229,fastest dry lap for driver TSU,699,5820.634890507735,58227.81976937214,10.003688749543423,0.09996312610642158,7.682899216092039,1816.125265170522,0.3120149776328096,4242.14968837705,0.728812194576081,5820.647715622509,1.0000022033876055
ZHO,43,SOFT,91.014,fastest dry lap for driver ZHO,692,5820.292969546016,58251.49386367381,10.008343938778985,0.09991663017548133,7.2214998481267685,1808.3426693181464,0.3106961589012928,4238.160214786703,0.7281695675737231,5820.4242939517535,1.0000225631950874
