segment_id,segment_type,region_key,region_description,region_name_external,corner_number,d_start_m,d_end_m,arc_length_m,chord_length_m,lap_fraction_start,lap_fraction_end,sector_start,sector_end,crosses_sector_boundary,corner_angle_raw,approx_radius_legacy,approx_radius_legacy_m,legacy_length_raw,legacy_length_m,legacy_sector
1,Straight,T18_to_T1,Straight from Turn 18 to Turn 1,start/finish straight,,5684.40423169786,462.63641515080917,615.9269502574848,577.9234914203087,0.9737412555417685,0.07924984666576687,3,1,True,,,,0.0,0.0,1
2,Corner,T1,Turn 1,Abbey,1.0,462.63641515080917,462.63641515080917,0.0,0.0,0.07924984666576687,0.07924984666576687,1,1,False,98.4899241531774,3683.5951711966313,367.7475218693155,0.0,0.0,1
3,Straight,T1_to_T2,Straight from Turn 1 to Turn 2,,,462.63641515080917,609.6188668413886,146.9824516905794,157.57155231832238,0.07924984666576687,0.10442801331579118,1,1,False,,,,1578.337785356971,157.57155231832238,1
4,Corner,T2,Turn 2,Farm Curve,2.0,609.6188668413886,609.6188668413886,0.0,0.0,0.10442801331579118,0.10442801331579118,1,1,False,-78.03462987143243,2049.8196052722137,204.6414019684782,0.0,0.0,1
5,Straight,T2_to_T3,Straight from Turn 2 to Turn 3,,,609.6188668413886,862.3090944087654,252.69022756737684,251.71125161863404,0.10442801331579118,0.1477139742406882,1,1,False,,,,2521.3014251874565,251.71125161863404,1
6,Corner,T3,Turn 3,Village,3.0,862.3090944087654,862.3090944087654,0.0,0.0,0.1477139742406882,0.1477139742406882,1,1,False,98.2555451956151,2013.297439018806,200.9952531630907,0.0,0.0,1
7,Straight,T3_to_T4,Straight from Turn 3 to Turn 4,,,862.3090944087654,1034.4362239208244,172.127129512059,150.27925470754738,0.1477139742406882,0.17719943663431018,1,1,False,,,,1505.2934528501555,150.27925470754735,1
8,Corner,T4,Turn 4,The Loop,4.0,1034.4362239208244,1034.4362239208244,0.0,0.0,0.17719943663431018,0.17719943663431018,1,1,False,-75.86392528573197,1641.7108612546597,163.89833105797425,0.0,0.0,1
9,Straight,T4_to_T5,Straight from Turn 4 to Turn 5,,,1034.4362239208244,1230.1430197021923,195.70679578136787,177.5174074084011,0.17719943663431018,0.2107241075188235,1,1,False,,,,1778.1282696591634,177.51740740840108,1
10,Corner,T5,Turn 5,Aintree,5.0,1230.1430197021923,1230.1430197021923,0.0,0.0,0.2107241075188235,0.2107241075188235,1,1,False,19.10473024407218,4466.206492608155,445.8786303815639,0.0,0.0,1
11,Straight,T5_to_T6,Straight from Turn 5 to Turn 6,Wellington Straight,,1230.1430197021923,1957.6830962933784,727.5400765911861,714.2398533547266,0.2107241075188235,0.3353520823708609,1,2,True,,,,7154.284715557145,714.2398533547266,1
12,Corner,T6,Turn 6,Brooklands,6.0,1957.6830962933784,1957.6830962933784,0.0,0.0,0.3353520823708609,0.3353520823708609,2,2,False,108.3056633014727,4486.925461031171,447.94708495899175,0.0,0.0,1
13,Straight,T6_to_T7,Straight from Turn 6 to Turn 7,,,1957.6830962933784,2183.4398124572613,225.75671616388286,181.65431656325677,0.3353520823708609,0.374024319475073,2,2,False,,,,1819.5662065051947,181.65431656325669,1
14,Corner,T7,Turn 7,Luffield,7.0,2183.4398124572613,2183.4398124572613,0.0,0.0,0.374024319475073,0.374024319475073,2,2,False,-130.008186597324,2468.750954443545,246.46493531866412,0.0,0.0,1
15,Straight,T7_to_T8,Straight from Turn 7 to Turn 8,,,2183.4398124572613,2534.9729581417605,351.53314568449923,311.27555407407147,0.374024319475073,0.4342421211462835,2,2,False,,,,3117.9357023818957,311.2755540740715,2
16,Corner,T8,Turn 8,Woodcote,8.0,2534.9729581417605,2534.9729581417605,0.0,0.0,0.4342421211462835,0.4342421211462835,2,2,False,122.63389803912163,4141.897790074776,413.5016410180558,0.0,0.0,2
17,Straight,T8_to_T9,Straight from Turn 8 to Turn 9,,,2534.9729581417605,3056.982162616274,522.0092044745134,515.7277279620401,0.4342421211462835,0.5236625559800583,2,2,False,,,,5165.859877767656,515.72772796204,2
18,Corner,T9,Turn 9,Copse,9.0,3056.982162616274,3056.982162616274,0.0,0.0,0.5236625559800583,0.5236625559800583,2,2,False,59.40549721836916,5259.713037606565,525.0974511119246,0.0,0.0,2
19,Straight,T9_to_T10,Straight from Turn 9 to Turn 10,,,3056.982162616274,3612.966268260748,555.9841056444743,534.467174261809,0.5236625559800583,0.6189029081831269,2,2,False,,,,5353.566197445474,534.467174261809,2
20,Corner,T10,Turn 10,Maggotts,10.0,3612.966268260748,3612.966268260748,0.0,0.0,0.6189029081831269,0.6189029081831269,2,2,False,-159.3327248044901,3129.9908006887463,312.4790610617287,0.0,0.0,2
21,Straight,T10_to_T11,Straight from Turn 10 to Turn 11,,,3612.966268260748,3699.6127805352226,86.64651227447439,90.4909478616485,0.6189029081831269,0.6337454985780857,2,2,False,,,,906.41540393202,90.49094786164862,2
22,Corner,T11,Turn 11,Becketts,11.0,3699.6127805352226,3699.6127805352226,0.0,0.0,0.6337454985780857,0.6337454985780857,2,2,False,-0.7521081230510966,1175.7610856604376,117.38076674194913,0.0,0.0,2
23,Straight,T11_to_T12,Straight from Turn 11 to Turn 12,,,3699.6127805352226,3840.874424736957,141.26164420173427,144.27058562224977,0.6337454985780857,0.6579436880766194,2,2,False,,,,1445.1067673888574,144.27058562224985,2
24,Corner,T12,Turn 12,Becketts,12.0,3840.874424736957,3840.874424736957,0.0,0.0,0.6579436880766194,0.6579436880766194,2,2,False,6.130680887505708,1414.0531399021652,141.1703821464227,0.0,0.0,2
25,Straight,T12_to_T13,Straight from Turn 12 to Turn 13,,,3840.874424736957,3985.5437760378964,144.66935130093952,138.07017867059562,0.6579436880766194,0.6827256194861866,2,2,False,,,,1382.9995124154702,138.07017867059525,3
26,Corner,T13,Turn 13,Becketts,13.0,3985.5437760378964,3985.5437760378964,0.0,0.0,0.6827256194861866,0.6827256194861866,2,2,False,-11.177492704699338,1394.032012111048,139.17159569242145,0.0,0.0,3
27,Straight,T13_to_T14,Straight from Turn 13 to Turn 14,,,3985.5437760378964,4131.829790228274,146.2860141903775,140.27301271424724,0.6827256194861866,0.707784486048073,2,2,False,,,,1405.064511806624,140.27301271424747,3
28,Corner,T14,Turn 14,Chapel,14.0,4131.829790228274,4131.829790228274,0.0,0.0,0.707784486048073,0.707784486048073,2,2,False,131.62596056517813,4943.190090143899,493.49774372433075,0.0,0.0,3
29,Straight,T14_to_T15,Straight from Turn 14 to Turn 15,Hangar Straight,,4131.829790228274,4998.272170964423,866.4423807361491,846.7224747344142,0.707784486048073,0.8562064942803441,2,3,True,,,,8481.315668481177,846.7224747344142,3
30,Corner,T15,Turn 15,Stowe,15.0,4998.272170964423,4998.272170964423,0.0,0.0,0.8562064942803441,0.8562064942803441,3,3,False,-81.47941394640335,6406.335325064008,639.5691791752503,0.0,0.0,3
31,Straight,T15_to_T16,Straight from Turn 15 to Turn 16,,,4998.272170964423,5454.799588551897,456.5274175874738,432.4158836160863,0.8562064942803441,0.9344098666429197,3,3,False,,,,4331.354981646844,432.4158836160867,3
32,Corner,T16,Turn 16,Vale,16.0,5454.799588551897,5454.799588551897,0.0,0.0,0.9344098666429197,0.9344098666429197,3,3,False,61.329159623640706,2581.5852116386004,257.7296146704852,0.0,0.0,3
33,Straight,T16_to_T17,Straight from Turn 16 to Turn 17,,,5454.799588551897,5536.935013889335,82.13542533743839,83.04334572488408,0.9344098666429197,0.9484797056150587,3,3,False,,,,831.8154416303587,83.04334572488388,3
34,Corner,T17,Turn 17,Club,17.0,5536.935013889335,5536.935013889335,0.0,0.0,0.9484797056150587,0.9484797056150587,3,3,False,-79.86563689483886,1094.675586372917,109.28568841855262,0.0,0.0,3
35,Straight,T17_to_T18,Straight from Turn 17 to Turn 18,,,5536.935013889335,5684.40423169786,147.46921780852517,135.52803111222119,0.9484797056150587,0.9737412555417685,3,3,False,,,,1357.535731115473,135.52803111222116,3
36,Corner,T18,Turn 18,Club exit,18.0,5684.40423169786,5684.40423169786,0.0,0.0,0.9737412555417685,0.9737412555417685,3,3,False,-178.56504718884855,3573.194144075883,356.72576126626495,0.0,0.0,3
