regime,seed,gamma,training_steps,checkpoint,episodes_replayed,episode_seeds,run_id,replay_kind,n_segments_per_lap,bootstrap_resamples,bootstrap_seed,script,fixed_replay_seconds,learned_replay_seconds,aggregation_seconds,generated_at
unconstrained,0,0.999,100000.0,outputs/phase2-recalibration/ppo_gamma_ablation_0999_20260826T162818/models/gamma0999/ppo/unconstrained/ppo_regime=unconstrained_seed=0_steps=100000.zip,100,0..99,20260827T124054,learned_policy_deterministic,36,2000,12345,scripts/analyse_pace_profiles.py,16.2,62.3,2.1,2026-08-27T12:42:15
unconstrained,1,0.999,100000.0,outputs/phase2-recalibration/ppo_gamma_ablation_0999_20260826T162818/models/gamma0999/ppo/unconstrained/ppo_regime=unconstrained_seed=1_steps=100000.zip,100,1..100,20260827T124054,learned_policy_deterministic,36,2000,12345,scripts/analyse_pace_profiles.py,16.2,62.3,2.1,2026-08-27T12:42:15
unconstrained,2,0.999,100000.0,outputs/phase2-recalibration/ppo_gamma_ablation_0999_20260826T162818/models/gamma0999/ppo/unconstrained/ppo_regime=unconstrained_seed=2_steps=100000.zip,100,2..101,20260827T124054,learned_policy_deterministic,36,2000,12345,scripts/analyse_pace_profiles.py,16.2,62.3,2.1,2026-08-27T12:42:15
rulebook,0,0.999,100000.0,outputs/phase2-recalibration/ppo_gamma_ablation_0999_20260826T162818/models/gamma0999/ppo/rulebook/ppo_regime=rulebook_seed=0_steps=100000.zip,100,0..99,20260827T124054,learned_policy_deterministic,36,2000,12345,scripts/analyse_pace_profiles.py,16.2,62.3,2.1,2026-08-27T12:42:15
rulebook,1,0.999,100000.0,outputs/phase2-recalibration/ppo_gamma_ablation_0999_20260826T162818/models/gamma0999/ppo/rulebook/ppo_regime=rulebook_seed=1_steps=100000.zip,100,1..100,20260827T124054,learned_policy_deterministic,36,2000,12345,scripts/analyse_pace_profiles.py,16.2,62.3,2.1,2026-08-27T12:42:15
rulebook,2,0.999,100000.0,outputs/phase2-recalibration/ppo_gamma_ablation_0999_20260826T162818/models/gamma0999/ppo/rulebook/ppo_regime=rulebook_seed=2_steps=100000.zip,100,2..101,20260827T124054,learned_policy_deterministic,36,2000,12345,scripts/analyse_pace_profiles.py,16.2,62.3,2.1,2026-08-27T12:42:15
safe,0,0.999,100000.0,outputs/phase2-recalibration/ppo_gamma_ablation_0999_20260826T162818/models/gamma0999/ppo/safe/ppo_regime=safe_seed=0_steps=100000.zip,100,0..99,20260827T124054,learned_policy_deterministic,36,2000,12345,scripts/analyse_pace_profiles.py,16.2,62.3,2.1,2026-08-27T12:42:15
safe,1,0.999,100000.0,outputs/phase2-recalibration/ppo_gamma_ablation_0999_20260826T162818/models/gamma0999/ppo/safe/ppo_regime=safe_seed=1_steps=100000.zip,100,1..100,20260827T124054,learned_policy_deterministic,36,2000,12345,scripts/analyse_pace_profiles.py,16.2,62.3,2.1,2026-08-27T12:42:15
safe,2,0.999,100000.0,outputs/phase2-recalibration/ppo_gamma_ablation_0999_20260826T162818/models/gamma0999/ppo/safe/ppo_regime=safe_seed=2_steps=100000.zip,100,2..101,20260827T124054,learned_policy_deterministic,36,2000,12345,scripts/analyse_pace_profiles.py,16.2,62.3,2.1,2026-08-27T12:42:15
n/a_dynamics_regime_independent,n/a,,,"risks=[-0.5, 0.0, 0.3, 0.68, 0.8]",200,9000..9199,20260827T124054,fixed_policy_zero_pit,36,2000,12345,scripts/analyse_pace_profiles.py,16.2,62.3,2.1,2026-08-27T12:42:15
