view,group_kind,group_label,regime,seed,risk_condition,bucket,metric,n,mean,sd,ci95_lo,ci95_hi
matched_window_laps5_15_zeropit,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,laps5-15,lap_time_s,1868,96.45537301521202,1.2942679592657234,96.39801481235021,96.51138589125138
matched_window_laps5_15_zeropit,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,laps5-15,lap_time_fuel_adj_s,1868,94.3748879221466,1.3597308489161368,94.31503007186876,94.43574734402173
matched_window_laps5_15_zeropit,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,laps5-15,tyre_age_entry,1868,8.725910064239828,3.1420286188916244,8.589373661670235,8.87526766595289
matched_window_laps5_15_zeropit,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,laps5-15,mean_risk_in_lap,1868,0.0,0.0,0.0,0.0
matched_window_laps5_15_zeropit,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,laps5-15,is_medium_compound,1868,1.0,0.0,1.0,1.0
matched_window_laps5_15_nonpitlaps,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,laps5-15,lap_time_s,1868,96.45537301521202,1.2942679592657234,96.39596740250842,96.51392718943565
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,1,lap_time_s,199,95.14218487169501,1.1028814511834872,94.988896128713,95.29475525583479
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,2,lap_time_s,199,95.32835160148657,1.196644117733611,95.15924205336258,95.48709549537004
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,3,lap_time_s,195,95.53747924014134,1.1716386898853126,95.37529721578147,95.70329840891245
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,4,lap_time_s,192,95.61405614978112,1.1784043367622852,95.44336108193636,95.77642585086602
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,5,lap_time_s,190,95.7140616759726,1.0688648883859109,95.56070821090796,95.86899572006797
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,6,lap_time_s,188,95.82189173644034,1.243786807838638,95.6386831797613,95.9900148684929
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,7,lap_time_s,185,96.07572639407994,1.2368579337138672,95.90300175959892,96.2575145909793
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,8,lap_time_s,179,96.19612236845622,1.2384734585825083,96.0189858446035,96.37258175753254
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,9,lap_time_s,178,96.19602901053287,1.217297111457167,96.01344500869986,96.37600736424284
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,10,lap_time_s,172,96.67716442694905,1.180268794045843,96.5109306332633,96.85929044837214
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,11,lap_time_s,165,96.58799571405794,1.184327062074765,96.41548137785801,96.76562580452203
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,12,lap_time_s,159,96.6851799409459,1.1831267756544515,96.50544360892289,96.86758586234062
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,13,lap_time_s,156,97.13640818780058,1.2081595157685048,96.94920419500133,97.31293007312358
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,14,lap_time_s,150,97.2106488553169,1.1166728225138554,97.03244745445963,97.38152341967525
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,15,lap_time_s,146,97.18581360505156,1.225902560056433,96.99429978511724,97.38872899727473
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,16,lap_time_s,141,97.46238533312419,1.2413416027381001,97.2539764641793,97.67054190537336
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,17,lap_time_s,136,97.69758468282659,1.1808455787482608,97.5115473766492,97.88452529175824
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,18,lap_time_s,134,97.94668518106637,1.0783545012557072,97.75796744100833,98.12212681052563
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,19,lap_time_s,130,97.99606760363112,1.2097544357144492,97.79105618913218,98.1972272097552
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,20,lap_time_s,127,97.94082383007326,1.229572182200298,97.74223746607329,98.16026382875981
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,21,lap_time_s,123,98.23379110661169,1.1598899859335359,98.02865599639856,98.4402172563126
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,22,lap_time_s,118,98.35309467519983,1.3133386687443969,98.10989504019426,98.59434435198322
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,23,lap_time_s,115,98.60072086420602,0.9900939584400482,98.42121432087676,98.77899017875417
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,24,lap_time_s,113,98.32226379970903,1.0635466722646345,98.12001294752457,98.510578261674
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,25,lap_time_s,110,98.76340270968163,1.1335104715552666,98.55152472021227,98.96853047833594
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,26,lap_time_s,103,99.19172538218257,1.2223769258221742,98.95153412670165,99.43369434640283
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,27,lap_time_s,99,99.18368632887119,1.2944071029848474,98.93540727131452,99.4389502478692
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,28,lap_time_s,84,99.55779560379787,1.0530662694895947,99.32222465522408,99.7762184000149
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,29,lap_time_s,79,99.5111576401298,1.0768225768747015,99.28142478701865,99.74090962606029
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,30,lap_time_s,72,99.85255545859269,1.2205784011551863,99.58496797402216,100.12475637230406
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,31,lap_time_s,67,100.01090755843425,1.112527613652479,99.74508356593249,100.27306773848998
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,32,lap_time_s,65,99.91840366716511,1.199566653823205,99.63301919152293,100.21202878301568
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,33,lap_time_s,59,100.17324304926656,1.0925690756015891,99.89912292160199,100.44487304971155
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,34,lap_time_s,57,100.27361709819347,1.0226442346059401,100.01328154297643,100.54737173223714
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,35,lap_time_s,54,100.30555982191751,1.2435000929810556,99.9821625550595,100.61930738275542
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,36,lap_time_s,51,100.59962275107925,1.2748875467835932,100.27003523657186,100.93178297375064
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,37,lap_time_s,47,100.54974015660824,1.263454983727273,100.1964686595202,100.90497087316979
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,38,lap_time_s,42,101.08688022397348,1.0202869957911684,100.78916042582749,101.39640597646576
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,39,lap_time_s,40,101.08932118174775,1.1362986037201863,100.72731800650602,101.4208424120218
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,40,lap_time_s,36,101.32963426226597,1.0296654513139831,100.99860835701114,101.67405767680124
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,41,lap_time_s,34,101.51207022689314,1.2046180226045724,101.12698265918021,101.90104419699448
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,42,lap_time_s,34,101.46699795184983,1.0572577760429893,101.12584462706349,101.81875728226
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,43,lap_time_s,31,101.83318684493891,1.309506147296748,101.41029725488116,102.28061842070277
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,44,lap_time_s,29,101.91520422136942,1.1688282693770191,101.50922038003186,102.3445841758992
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,45,lap_time_s,26,102.23725535782226,1.2776255063648188,101.7707653143347,102.715002128168
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,46,lap_time_s,25,102.28694135582107,0.9377985136860715,101.91643162373111,102.64172012765899
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,47,lap_time_s,24,102.35058521619767,1.0909188534187158,101.93201829107039,102.78502721951124
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,48,lap_time_s,24,102.62415543695744,1.1875608611652886,102.16438988157489,103.10933454904135
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,49,lap_time_s,21,102.41287604788931,1.129126977520335,101.91950602830815,102.8825088196289
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,50,lap_time_s,19,103.09991400535152,1.506850321648101,102.44155419170184,103.81570880789829
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,51,lap_time_s,16,103.09989582077534,1.472476864763772,102.37383429519211,103.7869667889623
by_lap_number,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,52,lap_time_s,13,102.97494349774423,0.9543618106260779,102.50447980295097,103.51188711673315
by_tyre_age,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,0,lap_time_fuel_adj_s,199,92.64218487169498,1.102881451183487,92.48378521914881,92.79766749721307
by_tyre_age,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,1,lap_time_fuel_adj_s,199,92.87642852456352,1.196644117733611,92.71342633987558,93.0395810613529
by_tyre_age,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,2,lap_time_fuel_adj_s,195,93.13363308629519,1.1716386898853126,92.973377840855,93.30467639033195
by_tyre_age,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,3,lap_time_fuel_adj_s,192,93.2582869190119,1.1784043367622852,93.09139783071662,93.43195815877392
by_tyre_age,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,4,lap_time_fuel_adj_s,190,93.4063693682803,1.0688648883859109,93.25965164380149,93.55777873426524
by_tyre_age,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,5,lap_time_fuel_adj_s,188,93.56227635182496,1.243786807838638,93.38364129228349,93.74179365446041
by_tyre_age,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,6,lap_time_fuel_adj_s,185,93.86418793254148,1.2368579337138672,93.68418782290647,94.03135053190037
by_tyre_age,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,7,lap_time_fuel_adj_s,179,94.0326608299947,1.2384734585825083,93.8504896096042,94.21214605343512
by_tyre_age,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,8,lap_time_fuel_adj_s,178,94.08064439514824,1.2172971114571667,93.89645834485302,94.25480985835443
by_tyre_age,fixed_policy,constant_risk_+0.00_zero_pit,n/a,n/a,0.0,9,lap_time_fuel_adj_s,172,94.60985673464133,1.180268794045843,94.4464404908636,94.77958373266414
