algo,regime,seed,steps_or_episodes,finish_position,race_time,crashes,catastrophic,pitstops,mean_risk,pitstop_distribution,algorithm,training_budget,completed_laps,terminated_by_crash,pit_stops,used_compounds,first_crash_site,first_crash_reason,final_crash_site,final_crash_reason,crash_index,crash_lap,crash_segment_id,crash_segment_type,crash_corner_number,crash_corner_name,crash_tyre_compound,crash_tyre_age,crash_tyre_wear,crash_risk_level,crash_reason
ppo,rulebook,0,200000,10,10.848604517501178,1,0,0,-1.0,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,0,0,4,Corner,2,Turn 2,MEDIUM,0,0.0,-1.0,stochastic_incident
ppo,rulebook,0,200000,10,53.37032901006552,1,0,0,-1.0,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,0,0,20,Corner,10,Turn 10,MEDIUM,0,0.0,-1.0,stochastic_incident
ppo,rulebook,0,200000,10,79.74790843056455,1,0,0,-1.0,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=30;type=Corner;corner_number=15;corner_name=Turn 15,stochastic_incident,segment=30;type=Corner;corner_number=15;corner_name=Turn 15,stochastic_incident,0,0,30,Corner,15,Turn 15,MEDIUM,0,0.0,-1.0,stochastic_incident
ppo,rulebook,0,200000,9,387.1772808823269,1,0,0,-1.0,{0: 20},ppo,200000,4,True,0,MEDIUM,segment=36;type=Corner;corner_number=18;corner_name=Turn 18,stochastic_incident,segment=36;type=Corner;corner_number=18;corner_name=Turn 18,stochastic_incident,0,4,36,Corner,18,Turn 18,MEDIUM,4,0.14,-1.0,stochastic_incident
ppo,rulebook,0,200000,11,96.19976748345977,1,0,0,-1.0,{0: 20},ppo,200000,1,True,0,MEDIUM,segment=36;type=Corner;corner_number=18;corner_name=Turn 18,stochastic_incident,segment=36;type=Corner;corner_number=18;corner_name=Turn 18,stochastic_incident,0,1,36,Corner,18,Turn 18,MEDIUM,1,0.035,-1.0,stochastic_incident
ppo,rulebook,0,200000,8,260.2961931578332,1,0,0,-1.0,{0: 20},ppo,200000,2,True,0,MEDIUM,segment=26;type=Corner;corner_number=13;corner_name=Turn 13,stochastic_incident,segment=26;type=Corner;corner_number=13;corner_name=Turn 13,stochastic_incident,0,2,26,Corner,13,Turn 13,MEDIUM,2,0.07,-1.0,stochastic_incident
ppo,rulebook,0,200000,10,10.864691404228065,1,0,0,-1.0,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,0,0,4,Corner,2,Turn 2,MEDIUM,0,0.0,-1.0,stochastic_incident
ppo,rulebook,0,200000,9,25.092925285986023,1,0,0,-1.0,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=10;type=Corner;corner_number=5;corner_name=Turn 5,stochastic_incident,segment=10;type=Corner;corner_number=5;corner_name=Turn 5,stochastic_incident,0,0,10,Corner,5,Turn 5,MEDIUM,0,0.0,-1.0,stochastic_incident
ppo,rulebook,0,200000,9,367.92472976168847,1,0,0,-0.994927332021188,{0: 20},ppo,200000,3,True,0,MEDIUM,segment=30;type=Corner;corner_number=15;corner_name=Turn 15,stochastic_incident,segment=30;type=Corner;corner_number=15;corner_name=Turn 15,stochastic_incident,0,3,30,Corner,15,Turn 15,MEDIUM,3,0.10500000000000001,-1.0,stochastic_incident
ppo,rulebook,0,200000,10,52.381018772576596,1,0,0,-1.0,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,0,0,20,Corner,10,Turn 10,MEDIUM,0,0.0,-1.0,stochastic_incident
