algo,regime,seed,steps_or_episodes,finish_position,race_time,crashes,catastrophic,pitstops,mean_risk,pitstop_distribution,algorithm,training_budget,completed_laps,terminated_by_crash,pit_stops,used_compounds,first_crash_site,first_crash_reason,final_crash_site,final_crash_reason,crash_index,crash_lap,crash_segment_id,crash_segment_type,crash_corner_number,crash_corner_name,crash_tyre_compound,crash_tyre_age,crash_tyre_wear,crash_risk_level,crash_reason
ppo,safe,0,200000,10,10.802686253509506,1,0,0,-0.4834195300936699,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,0,0,4,Corner,2.0,Turn 2,MEDIUM,0,0.0,-0.4834708571434021,stochastic_incident
ppo,safe,0,200000,10,53.140852440307015,1,0,0,-0.4836777180433273,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,0,0,20,Corner,10.0,Turn 10,MEDIUM,0,0.0,-0.48398590087890625,stochastic_incident
ppo,safe,0,200000,10,79.40534069068049,1,0,0,-0.48614839017391204,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=30;type=Corner;corner_number=15;corner_name=Turn 15,stochastic_incident,segment=30;type=Corner;corner_number=15;corner_name=Turn 15,stochastic_incident,0,0,30,Corner,15.0,Turn 15,MEDIUM,0,0.0,-0.48430395126342773,stochastic_incident
ppo,safe,0,200000,9,634.0615559744514,1,0,0,-0.4989432427337614,{0: 20},ppo,200000,6,True,0,MEDIUM,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,0,6,20,Corner,10.0,Turn 10,MEDIUM,6,0.21000000000000002,-0.5114462375640869,stochastic_incident
ppo,safe,0,200000,11,95.78424676178582,1,0,0,-0.4805990979075432,{0: 20},ppo,200000,1,True,0,MEDIUM,segment=36;type=Corner;corner_number=18;corner_name=Turn 18,stochastic_incident,segment=36;type=Corner;corner_number=18;corner_name=Turn 18,stochastic_incident,0,1,36,Corner,18.0,Turn 18,MEDIUM,1,0.035,-0.4784928560256958,stochastic_incident
ppo,safe,0,200000,8,103.92757762796548,1,0,0,-0.49125818982720376,{0: 20},ppo,200000,1,True,0,MEDIUM,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,0,1,4,Corner,2.0,Turn 2,MEDIUM,1,0.035,-0.4980261027812958,stochastic_incident
ppo,safe,0,200000,10,11.04445640060722,1,0,0,-0.4834205359220505,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,0,0,4,Corner,2.0,Turn 2,MEDIUM,0,0.0,-0.4834709167480469,stochastic_incident
ppo,safe,0,200000,9,24.978387329006484,1,0,0,-0.4845791935920715,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=10;type=Corner;corner_number=5;corner_name=Turn 5,stochastic_incident,segment=10;type=Corner;corner_number=5;corner_name=Turn 5,stochastic_incident,0,0,10,Corner,5.0,Turn 5,MEDIUM,0,0.0,-0.4889853596687317,stochastic_incident
ppo,safe,0,200000,9,557.8641021934426,1,0,0,-0.49606613176209585,{0: 20},ppo,200000,5,True,0,MEDIUM,segment=30;type=Corner;corner_number=15;corner_name=Turn 15,stochastic_incident,segment=30;type=Corner;corner_number=15;corner_name=Turn 15,stochastic_incident,0,5,30,Corner,15.0,Turn 15,MEDIUM,5,0.17500000000000002,-0.508922815322876,stochastic_incident
ppo,safe,0,200000,10,52.15154063256684,1,0,0,-0.4836741849780083,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,0,0,20,Corner,10.0,Turn 10,MEDIUM,0,0.0,-0.48397552967071533,stochastic_incident
ppo,safe,0,200000,10,291.273963197028,1,0,0,-0.48852958462455054,{0: 20},ppo,200000,3,True,0,MEDIUM,segment=2;type=Corner;corner_number=1;corner_name=Turn 1,stochastic_incident,segment=2;type=Corner;corner_number=1;corner_name=Turn 1,stochastic_incident,0,3,2,Corner,1.0,Turn 1,MEDIUM,3,0.10500000000000001,-0.4961290955543518,stochastic_incident
ppo,safe,0,200000,9,181.25795075273618,1,0,0,-0.489200576701585,{0: 20},ppo,200000,1,True,0,MEDIUM,segment=32;type=Corner;corner_number=16;corner_name=Turn 16,stochastic_incident,segment=32;type=Corner;corner_number=16;corner_name=Turn 16,stochastic_incident,0,1,32,Corner,16.0,Turn 16,MEDIUM,1,0.035,-0.49428701400756836,stochastic_incident
ppo,safe,0,200000,10,10.83820259894204,1,0,0,-0.48341885954141617,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,0,0,4,Corner,2.0,Turn 2,MEDIUM,0,0.0,-0.48346731066703796,stochastic_incident
ppo,safe,0,200000,13,576.098846745991,1,0,0,-0.48183146450254655,{0: 20},ppo,200000,6,True,0,MEDIUM,segment=36;type=Corner;corner_number=18;corner_name=Turn 18,stochastic_incident,segment=36;type=Corner;corner_number=18;corner_name=Turn 18,stochastic_incident,0,6,36,Corner,18.0,Turn 18,MEDIUM,6,0.21000000000000002,-0.4836461544036865,stochastic_incident
ppo,safe,0,200000,10,58.21561120470054,1,0,0,-0.48371175879781897,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=22;type=Corner;corner_number=11;corner_name=Turn 11,stochastic_incident,segment=22;type=Corner;corner_number=11;corner_name=Turn 11,stochastic_incident,0,0,22,Corner,11.0,Turn 11,MEDIUM,0,0.0,-0.48404788970947266,stochastic_incident
ppo,safe,0,200000,6,455.3230853866141,1,0,0,-0.5031677372971474,{0: 20},ppo,200000,4,True,0,MEDIUM,segment=27;type=Straight;corner_number=;corner_name=,stochastic_incident,segment=27;type=Straight;corner_number=;corner_name=,stochastic_incident,0,4,27,Straight,,,MEDIUM,4,0.14,-0.5174968838691711,stochastic_incident
ppo,safe,0,200000,10,36.78980429788369,1,0,0,-0.4835787160055978,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=14;type=Corner;corner_number=7;corner_name=Turn 7,stochastic_incident,segment=14;type=Corner;corner_number=7;corner_name=Turn 7,stochastic_incident,0,0,14,Corner,7.0,Turn 7,MEDIUM,0,0.0,-0.4837856888771057,stochastic_incident
ppo,safe,0,200000,10,128.52481120348764,1,0,0,-0.4849840886890888,{0: 20},ppo,200000,1,True,0,MEDIUM,segment=12;type=Corner;corner_number=6;corner_name=Turn 6,stochastic_incident,segment=12;type=Corner;corner_number=6;corner_name=Turn 6,stochastic_incident,0,1,12,Corner,6.0,Turn 6,MEDIUM,1,0.035,-0.48831695318222046,stochastic_incident
ppo,safe,0,200000,9,266.2546960557652,1,0,0,-0.490861051448501,{0: 20},ppo,200000,2,True,0,MEDIUM,segment=29;type=Straight;corner_number=;corner_name=,stochastic_incident,segment=29;type=Straight;corner_number=;corner_name=,stochastic_incident,0,2,29,Straight,,,MEDIUM,2,0.07,-0.4983893930912018,stochastic_incident
ppo,safe,0,200000,10,53.24581531963047,1,0,0,-0.48367772102355955,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,0,0,20,Corner,10.0,Turn 10,MEDIUM,0,0.0,-0.4839853048324585,stochastic_incident
