algo,regime,seed,steps_or_episodes,finish_position,race_time,crashes,catastrophic,pitstops,mean_risk,pitstop_distribution,algorithm,training_budget,completed_laps,terminated_by_crash,pit_stops,used_compounds,first_crash_site,first_crash_reason,final_crash_site,final_crash_reason,crash_index,crash_lap,crash_segment_id,crash_segment_type,crash_corner_number,crash_corner_name,crash_tyre_compound,crash_tyre_age,crash_tyre_wear,crash_risk_level,crash_reason
ppo,unconstrained,0,200000,10,10.780664023083034,1,0,0,-0.23566943779587746,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,0,0,4,Corner,2.0,Turn 2,MEDIUM,0,0.0,-0.2357219010591507,stochastic_incident
ppo,unconstrained,0,200000,10,53.03074411509049,1,0,0,-0.2359339863061905,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,0,0,20,Corner,10.0,Turn 10,MEDIUM,0,0.0,-0.23625023663043976,stochastic_incident
ppo,unconstrained,0,200000,10,79.74152709321059,1,0,0,-0.29688004950682323,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=30;type=Corner;corner_number=15;corner_name=Turn 15,stochastic_incident,segment=30;type=Corner;corner_number=15;corner_name=Turn 15,stochastic_incident,0,0,30,Corner,15.0,Turn 15,MEDIUM,0,0.0,-0.2365839034318924,stochastic_incident
ppo,unconstrained,0,200000,9,634.1025439665675,1,0,0,-0.43733808208825226,{0: 20},ppo,200000,6,True,0,MEDIUM,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,segment=20;type=Corner;corner_number=10;corner_name=Turn 10,stochastic_incident,0,6,20,Corner,10.0,Turn 10,MEDIUM,6,0.21000000000000002,-0.5877973437309265,stochastic_incident
ppo,unconstrained,0,200000,11,95.52644960633933,1,0,0,-0.15835265359944767,{0: 20},ppo,200000,1,True,0,MEDIUM,segment=36;type=Corner;corner_number=18;corner_name=Turn 18,stochastic_incident,segment=36;type=Corner;corner_number=18;corner_name=Turn 18,stochastic_incident,0,1,36,Corner,18.0,Turn 18,MEDIUM,1,0.035,-0.09665888547897339,stochastic_incident
ppo,unconstrained,0,200000,8,259.9622155666736,1,0,0,-0.5112502127885818,{0: 20},ppo,200000,2,True,0,MEDIUM,segment=26;type=Corner;corner_number=13;corner_name=Turn 13,stochastic_incident,segment=26;type=Corner;corner_number=13;corner_name=Turn 13,stochastic_incident,0,2,26,Corner,13.0,Turn 13,MEDIUM,2,0.07,-0.587322473526001,stochastic_incident
ppo,unconstrained,0,200000,10,11.022434172829845,1,0,0,-0.23567047342658043,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,segment=4;type=Corner;corner_number=2;corner_name=Turn 2,stochastic_incident,0,0,4,Corner,2.0,Turn 2,MEDIUM,0,0.0,-0.23572202026844025,stochastic_incident
ppo,unconstrained,0,200000,9,24.92932889629499,1,0,0,-0.26381624639034273,{0: 20},ppo,200000,0,True,0,MEDIUM,segment=10;type=Corner;corner_number=5;corner_name=Turn 5,stochastic_incident,segment=10;type=Corner;corner_number=5;corner_name=Turn 5,stochastic_incident,0,0,10,Corner,5.0,Turn 5,MEDIUM,0,0.0,-0.3761657178401947,stochastic_incident
ppo,unconstrained,0,200000,9,556.5192528007847,1,0,0,-0.3833376174171766,{0: 20},ppo,200000,5,True,0,MEDIUM,segment=30;type=Corner;corner_number=15;corner_name=Turn 15,stochastic_incident,segment=30;type=Corner;corner_number=15;corner_name=Turn 15,stochastic_incident,0,5,30,Corner,15.0,Turn 15,MEDIUM,5,0.17500000000000002,-0.5572327971458435,stochastic_incident
ppo,unconstrained,0,200000,13,442.3308321807238,1,0,0,-0.22948507318295627,{0: 20},ppo,200000,4,True,0,MEDIUM,segment=22;type=Corner;corner_number=11;corner_name=Turn 11,stochastic_incident,segment=22;type=Corner;corner_number=11;corner_name=Turn 11,stochastic_incident,0,4,22,Corner,11.0,Turn 11,MEDIUM,4,0.14,0.016831886023283005,stochastic_incident
ppo,unconstrained,0,200000,10,120.7918257471607,1,0,0,-0.24472338965405588,{0: 20},ppo,200000,1,True,0,MEDIUM,segment=10;type=Corner;corner_number=5;corner_name=Turn 5,stochastic_incident,segment=10;type=Corner;corner_number=5;corner_name=Turn 5,stochastic_incident,0,1,10,Corner,5.0,Turn 5,MEDIUM,1,0.035,-0.275585412979126,stochastic_incident
